"user_index","child_id","item_rank","story_id"
1,71,1,24
1,71,2,34
1,71,3,60
1,71,4,63
1,71,5,77
1,71,6,95
1,71,7,96
1,71,8,146
1,71,9,151
1,71,10,170
2,94,1,0
2,94,2,3
2,94,3,4
2,94,4,9
2,94,5,14
2,94,6,17
2,94,7,41
2,94,8,68
2,94,9,75
2,94,10,109
3,362,1,0
3,362,2,1
3,362,3,3
3,362,4,4
3,362,5,9
3,362,6,14
3,362,7,41
3,362,8,68
3,362,9,75
3,362,10,109
4,547,1,24
4,547,2,34
4,547,3,60
4,547,4,63
4,547,5,77
4,547,6,95
4,547,7,96
4,547,8,146
4,547,9,151
4,547,10,170
5,674,1,24
5,674,2,34
5,674,3,60
5,674,4,63
5,674,5,77
5,674,6,95
5,674,7,96
5,674,8,146
5,674,9,151
5,674,10,170
6,984,1,24
6,984,2,34
6,984,3,60
6,984,4,63
6,984,5,77
6,984,6,95
6,984,7,96
6,984,8,146
6,984,9,151
6,984,10,170
7,1470,1,24
7,1470,2,34
7,1470,3,60
7,1470,4,63
7,1470,5,77
7,1470,6,95
7,1470,7,96
7,1470,8,146
7,1470,9,151
7,1470,10,170
8,1570,1,24
8,1570,2,34
8,1570,3,60
8,1570,4,63
8,1570,5,77
8,1570,6,95
8,1570,7,96
8,1570,8,146
8,1570,9,151
8,1570,10,170
9,1644,1,24
9,1644,2,34
9,1644,3,60
9,1644,4,63
9,1644,5,77
9,1644,6,95
9,1644,7,96
9,1644,8,146
9,1644,9,151
9,1644,10,170
10,1663,1,24
10,1663,2,34
10,1663,3,60
10,1663,4,63
10,1663,5,77
10,1663,6,95
10,1663,7,96
10,1663,8,146
10,1663,9,151
10,1663,10,170
11,1702,1,9
11,1702,2,14
11,1702,3,41
11,1702,4,68
11,1702,5,75
11,1702,6,82
11,1702,7,109
11,1702,8,142
11,1702,9,280
11,1702,10,570
12,1935,1,24
12,1935,2,34
12,1935,3,60
12,1935,4,63
12,1935,5,77
12,1935,6,95
12,1935,7,96
12,1935,8,146
12,1935,9,151
12,1935,10,170
13,2062,1,24
13,2062,2,34
13,2062,3,60
13,2062,4,63
13,2062,5,77
13,2062,6,95
13,2062,7,96
13,2062,8,146
13,2062,9,151
13,2062,10,170
14,2098,1,24
14,2098,2,34
14,2098,3,60
14,2098,4,63
14,2098,5,77
14,2098,6,95
