"user_index","child_id","item_rank","story_id"
6,984,1,1
6,984,2,328
6,984,3,845
6,984,4,955
6,984,5,1098
6,984,6,1101
6,984,7,1224
6,984,8,1406
6,984,9,1493
6,984,10,1695
10,1663,1,95
10,1663,2,288
10,1663,3,303
10,1663,4,698
10,1663,5,785
10,1663,6,1059
10,1663,7,1513
10,1663,8,1803
10,1663,9,1816
10,1663,10,1942
11,1702,1,699
11,1702,2,723
11,1702,3,1006
11,1702,4,1051
11,1702,5,1060
11,1702,6,1289
11,1702,7,1621
11,1702,8,1677
11,1702,9,1746
11,1702,10,1854
15,2302,1,34
15,2302,2,146
15,2302,3,401
15,2302,4,652
15,2302,5,1024
15,2302,6,1040
15,2302,7,1046
15,2302,8,1496
15,2302,9,1649
15,2302,10,1701
23,4318,1,322
23,4318,2,328
23,4318,3,370
23,4318,4,653
23,4318,5,1258
23,4318,6,1369
23,4318,7,1391
23,4318,8,1402
23,4318,9,1618
23,4318,10,1688
25,4548,1,347
25,4548,2,377
25,4548,3,494
25,4548,4,785
25,4548,5,819
25,4548,6,1101
25,4548,7,1200
25,4548,8,1649
25,4548,9,1674
25,4548,10,1925
31,6804,1,484
31,6804,2,503
31,6804,3,579
31,6804,4,1288
31,6804,5,1321
31,6804,6,1469
31,6804,7,1507
31,6804,8,1661
31,6804,9,1697
31,6804,10,1956
32,6893,1,32
32,6893,2,62
32,6893,3,205
32,6893,4,223
32,6893,5,633
32,6893,6,703
32,6893,7,879
32,6893,8,1255
32,6893,9,1375
32,6893,10,1483
38,7317,1,288
38,7317,2,305
38,7317,3,542
38,7317,4,774
38,7317,5,834
38,7317,6,1200
38,7317,7,1528
38,7317,8,1584
38,7317,9,1695
38,7317,10,1942
42,8576,1,10
42,8576,2,251
42,8576,3,1122
42,8576,4,1507
42,8576,5,1527
42,8576,6,1697
42,8576,7,1720
42,8576,8,1781
42,8576,9,1873
42,8576,10,1964
43,8592,1,409
43,8592,2,723
43,8592,3,729
43,8592,4,1163
43,8592,5,1375
43,8592,6,1384
43,8592,7,1571
43,8592,8,1596
43,8592,9,1717
43,8592,10,1974
45,8730,1,251
45,8730,2,352
45,8730,3,455
45,8730,4,620
45,8730,5,641
45,8730,6,727
45,8730,7,774
45,8730,8,845
45,8730,9,1647
45,8730,10,1675
48,9607,1,401
48,9607,2,438
48,9607,3,499
48,9607,4,590
48,9607,5,959
48,9607,6,1108
48,9607,7,1289
48,9607,8,1319
48,9607,9,1925
48,9607,10,1932
53,10412,1,236
53,10412,2,585
53,10412,3,700
53,10412,4,739
53,10412,5,890
53,10412,6,982
53,10412,7,1327
53,10412,8,1532
53,10412,9,1597
53,10412,10,1709
55,10689,1,240
55,10689,2,647
55,10689,3,744
55,10689,4,862
55,10689,5,1017
55,10689,6,1374
55,10689,7,1475
55,10689,8,1791
55,10689,9,1815
55,10689,10,1836
70,13400,1,274
70,13400,2,281
70,13400,3,317
70,13400,4,326
70,13400,5,513
70,13400,6,862
70,13400,7,1141
70,13400,8,1368
70,13400,9,1626
70,13400,10,1975
74,14235,1,716
74,14235,2,774
74,14235,3,964
74,14235,4,1001
74,14235,5,1103
74,14235,6,1260
74,14235,7,1556
74,14235,8,1594
74,14235,9,1687
74,14235,10,1890
83,15323,1,290
83,15323,2,317
83,15323,3,416
83,15323,4,504
83,15323,5,959
83,15323,6,1201
83,15323,7,1460
83,15323,8,1488
83,15323,9,1601
83,15323,10,1962
87,16325,1,24
87,16325,2,104
87,16325,3,369
87,16325,4,419
87,16325,5,735
87,16325,6,737
87,16325,7,774
87,16325,8,1506
87,16325,9,1523
87,16325,10,1892
88,16378,1,328
88,16378,2,354
88,16378,3,891
88,16378,4,1084
88,16378,5,1281
88,16378,6,1289
88,16378,7,1435
88,16378,8,1717
88,16378,9,1802
88,16378,10,1873
91,17513,1,4
91,17513,2,127
91,17513,3,388
91,17513,4,393
91,17513,5,438
91,17513,6,551
91,17513,7,924
91,17513,8,1268
91,17513,9,1457
91,17513,10,1962
103,22056,1,26
103,22056,2,44
103,22056,3,123
103,22056,4,156
103,22056,5,591
103,22056,6,830
103,22056,7,1299
103,22056,8,1594
103,22056,9,1621
103,22056,10,1745
104,22315,1,508
104,22315,2,973
104,22315,3,1093
104,22315,4,1116
104,22315,5,1483
104,22315,6,1666
104,22315,7,1667
104,22315,8,1826
104,22315,9,1867
104,22315,10,1902
111,24206,1,3
111,24206,2,72
111,24206,3,582
111,24206,4,987
111,24206,5,1033
111,24206,6,1335
111,24206,7,1357
111,24206,8,1650
111,24206,9,1722
111,24206,10,1730
115,25174,1,36
115,25174,2,364
115,25174,3,890
115,25174,4,1108
115,25174,5,1147
115,25174,6,1186
115,25174,7,1550
115,25174,8,1584
115,25174,9,1616
115,25174,10,1712
121,25974,1,79
121,25974,2,117
121,25974,3,322
121,25974,4,353
121,25974,5,393
121,25974,6,398
121,25974,7,603
121,25974,8,1004
121,25974,9,1254
121,25974,10,1712
122,26650,1,317
122,26650,2,624
122,26650,3,952
122,26650,4,959
122,26650,5,1299
122,26650,6,1310
122,26650,7,1399
122,26650,8,1619
122,26650,9,1756
122,26650,10,1942
125,27332,1,96
125,27332,2,248
125,27332,3,250
125,27332,4,664
125,27332,5,844
125,27332,6,899
125,27332,7,961
125,27332,8,1207
125,27332,9,1317
125,27332,10,1785
129,28104,1,788
129,28104,2,1168
129,28104,3,1261
129,28104,4,1472
129,28104,5,1644
129,28104,6,1668
129,28104,7,1691
129,28104,8,1724
129,28104,9,1819
129,28104,10,1865
137,29996,1,178
137,29996,2,223
137,29996,3,596
137,29996,4,1111
137,29996,5,1150
137,29996,6,1336
137,29996,7,1483
137,29996,8,1633
137,29996,9,1666
137,29996,10,1681
139,30119,1,173
139,30119,2,305
139,30119,3,402
139,30119,4,693
139,30119,5,990
139,30119,6,1322
139,30119,7,1363
139,30119,8,1410
139,30119,9,1563
139,30119,10,1836
159,34396,1,77
159,34396,2,438
159,34396,3,685
159,34396,4,919
159,34396,5,1201
159,34396,6,1227
159,34396,7,1550
159,34396,8,1594
159,34396,9,1717
159,34396,10,1869
169,37166,1,1
169,37166,2,300
169,37166,3,557
169,37166,4,650
169,37166,5,750
169,37166,6,754
169,37166,7,762
169,37166,8,1286
169,37166,9,1287
169,37166,10,1584
172,37626,1,1
172,37626,2,419
172,37626,3,1164
172,37626,4,1178
172,37626,5,1267
172,37626,6,1425
172,37626,7,1478
172,37626,8,1813
172,37626,9,1921
172,37626,10,1969
174,37842,1,4
174,37842,2,322
174,37842,3,352
174,37842,4,550
174,37842,5,652
174,37842,6,697
174,37842,7,1178
174,37842,8,1264
174,37842,9,1501
174,37842,10,1616
175,37853,1,34
175,37853,2,35
175,37853,3,113
175,37853,4,801
175,37853,5,981
175,37853,6,1029
175,37853,7,1126
175,37853,8,1391
175,37853,9,1439
175,37853,10,1591
176,38005,1,244
176,38005,2,274
176,38005,3,294
176,38005,4,295
176,38005,5,440
176,38005,6,524
176,38005,7,1187
176,38005,8,1335
176,38005,9,1508
176,38005,10,1587
180,38790,1,448
180,38790,2,601
180,38790,3,758
180,38790,4,960
180,38790,5,1322
180,38790,6,1498
180,38790,7,1507
180,38790,8,1594
180,38790,9,1695
180,38790,10,1715
183,39654,1,211
183,39654,2,785
183,39654,3,911
183,39654,4,961
183,39654,5,973
183,39654,6,974
183,39654,7,1086
183,39654,8,1287
183,39654,9,1475
183,39654,10,1741
185,39755,1,288
185,39755,2,418
185,39755,3,536
185,39755,4,892
185,39755,5,1001
185,39755,6,1050
185,39755,7,1291
185,39755,8,1332
185,39755,9,1424
185,39755,10,1953
202,45070,1,364
202,45070,2,811
202,45070,3,973
202,45070,4,1102
202,45070,5,1235
202,45070,6,1267
202,45070,7,1558
202,45070,8,1560
202,45070,9,1771
202,45070,10,1811
204,45529,1,452
204,45529,2,864
204,45529,3,873
204,45529,4,891
204,45529,5,1025
204,45529,6,1310
204,45529,7,1321
204,45529,8,1483
204,45529,9,1568
204,45529,10,1961
218,48659,1,239
218,48659,2,407
218,48659,3,552
218,48659,4,820
218,48659,5,1141
218,48659,6,1396
218,48659,7,1558
218,48659,8,1626
218,48659,9,1722
218,48659,10,1898
232,51761,1,170
232,51761,2,811
232,51761,3,862
232,51761,4,873
232,51761,5,924
232,51761,6,984
232,51761,7,1087
232,51761,8,1210
232,51761,9,1322
232,51761,10,1587
235,52213,1,57
235,52213,2,274
235,52213,3,443
235,52213,4,527
235,52213,5,861
235,52213,6,940
235,52213,7,950
235,52213,8,1105
235,52213,9,1543
235,52213,10,1791
236,52379,1,88
236,52379,2,355
236,52379,3,487
236,52379,4,819
236,52379,5,1010
236,52379,6,1112
236,52379,7,1178
236,52379,8,1207
236,52379,9,1324
236,52379,10,1626
239,52635,1,32
239,52635,2,113
239,52635,3,146
239,52635,4,209
239,52635,5,664
239,52635,6,808
239,52635,7,919
239,52635,8,1108
239,52635,9,1318
239,52635,10,1564
247,54540,1,598
247,54540,2,636
247,54540,3,950
247,54540,4,985
247,54540,5,1289
247,54540,6,1619
247,54540,7,1724
247,54540,8,1805
247,54540,9,1834
247,54540,10,1850
258,57604,1,215
258,57604,2,372
258,57604,3,582
258,57604,4,911
258,57604,5,1104
258,57604,6,1404
258,57604,7,1549
258,57604,8,1668
258,57604,9,1670
258,57604,10,1957
283,62496,1,45
283,62496,2,438
283,62496,3,950
283,62496,4,981
283,62496,5,1253
283,62496,6,1318
283,62496,7,1563
283,62496,8,1591
283,62496,9,1720
283,62496,10,1890
285,62782,1,211
285,62782,2,613
285,62782,3,754
285,62782,4,992
285,62782,5,1031
285,62782,6,1280
285,62782,7,1315
285,62782,8,1400
285,62782,9,1536
285,62782,10,1903
292,64058,1,60
292,64058,2,513
292,64058,3,624
292,64058,4,693
292,64058,5,799
292,64058,6,1317
292,64058,7,1323
292,64058,8,1491
292,64058,9,1606
292,64058,10,1938
296,64487,1,38
296,64487,2,48
296,64487,3,145
296,64487,4,268
296,64487,5,527
296,64487,6,714
296,64487,7,808
296,64487,8,1175
296,64487,9,1342
296,64487,10,1909
300,65960,1,23
300,65960,2,154
300,65960,3,344
300,65960,4,470
300,65960,5,758
300,65960,6,955
300,65960,7,1126
300,65960,8,1209
300,65960,9,1288
300,65960,10,1865
302,66126,1,50
302,66126,2,133
302,66126,3,502
302,66126,4,527
302,66126,5,1126
302,66126,6,1212
302,66126,7,1324
302,66126,8,1498
302,66126,9,1816
302,66126,10,1932
305,67789,1,72
305,67789,2,290
305,67789,3,479
