"user_index","child_id","item_rank","story_id"
1,71,1,"1"
1,71,2,"39"
1,71,3,"75"
1,71,4,"536"
1,71,5,"563"
1,71,6,"723"
1,71,7,"727"
1,71,8,"1164"
1,71,9,"1379"
1,71,10,"1942"
2,94,1,"142"
2,94,2,"343"
2,94,3,"353"
2,94,4,"1042"
2,94,5,"1065"
2,94,6,"1154"
2,94,7,"1170"
2,94,8,"1504"
2,94,9,"1536"
2,94,10,"1908"
3,362,1,"224"
3,362,2,"496"
3,362,3,"505"
3,362,4,"670"
3,362,5,"767"
3,362,6,"935"
3,362,7,"1093"
3,362,8,"1253"
3,362,9,"1260"
3,362,10,"1666"
4,547,1,"142"
4,547,2,"343"
4,547,3,"353"
4,547,4,"456"
4,547,5,"599"
4,547,6,"903"
4,547,7,"1042"
4,547,8,"1504"
4,547,9,"1536"
4,547,10,"1943"
5,674,1,"142"
5,674,2,"224"
5,674,3,"343"
5,674,4,"353"
5,674,5,"369"
5,674,6,"599"
5,674,7,"1042"
5,674,8,"1126"
5,674,9,"1504"
5,674,10,"1536"
6,984,1,"224"
6,984,2,"326"
6,984,3,"457"
6,984,4,"727"
6,984,5,"1007"
6,984,6,"1111"
6,984,7,"1186"
6,984,8,"1667"
6,984,9,"1687"
6,984,10,"1691"
7,1470,1,"12"
7,1470,2,"326"
7,1470,3,"457"
7,1470,4,"779"
7,1470,5,"1111"
7,1470,6,"1186"
7,1470,7,"1322"
7,1470,8,"1366"
7,1470,9,"1425"
7,1470,10,"1687"
8,1570,1,"1"
8,1570,2,"75"
8,1570,3,"452"
8,1570,4,"457"
8,1570,5,"723"
8,1570,6,"727"
8,1570,7,"835"
8,1570,8,"1351"
8,1570,9,"1379"
8,1570,10,"1966"
9,1644,1,"12"
9,1644,2,"224"
9,1644,3,"457"
9,1644,4,"727"
9,1644,5,"779"
9,1644,6,"845"
9,1644,7,"1111"
9,1644,8,"1186"
9,1644,9,"1406"
9,1644,10,"1687"
10,1663,1,"1"
10,1663,2,"39"
10,1663,3,"75"
10,1663,4,"117"
10,1663,5,"452"
10,1663,6,"536"
10,1663,7,"835"
10,1663,8,"1351"
10,1663,9,"1379"
10,1663,10,"1966"
11,1702,1,"12"
11,1702,2,"128"
11,1702,3,"224"
11,1702,4,"457"
11,1702,5,"620"
11,1702,6,"779"
11,1702,7,"1007"
11,1702,8,"1186"
11,1702,9,"1667"
11,1702,10,"1687"
12,1935,1,"224"
12,1935,2,"505"
12,1935,3,"779"
12,1935,4,"1093"
12,1935,5,"1105"
12,1935,6,"1155"
12,1935,7,"1253"
12,1935,8,"1260"
12,1935,9,"1391"
12,1935,10,"1666"
13,2062,1,"142"
13,2062,2,"343"
13,2062,3,"353"
13,2062,4,"599"
13,2062,5,"1042"
13,2062,6,"1065"
13,2062,7,"1170"
13,2062,8,"1199"
13,2062,9,"1504"
13,2062,10,"1536"
14,2098,1,"545"
14,2098,2,"789"
