"user_index","child_id","item_rank","story_id"
1,71,1,"201"
1,71,2,"376"
1,71,3,"589"
1,71,4,"655"
1,71,5,"1002"
1,71,6,"1253"
1,71,7,"1268"
1,71,8,"1368"
1,71,9,"1437"
1,71,10,"1646"
2,94,1,"166"
2,94,2,"385"
2,94,3,"857"
2,94,4,"892"
2,94,5,"1167"
2,94,6,"1444"
2,94,7,"1461"
2,94,8,"1570"
2,94,9,"1703"
2,94,10,"1760"
3,362,1,"31"
3,362,2,"75"
3,362,3,"112"
3,362,4,"235"
3,362,5,"310"
3,362,6,"317"
3,362,7,"754"
3,362,8,"1616"
3,362,9,"1618"
3,362,10,"1851"
4,547,1,"257"
4,547,2,"344"
4,547,3,"820"
4,547,4,"968"
4,547,5,"985"
4,547,6,"1040"
4,547,7,"1086"
4,547,8,"1375"
4,547,9,"1778"
4,547,10,"1962"
5,674,1,"45"
5,674,2,"58"
5,674,3,"180"
5,674,4,"563"
5,674,5,"896"
5,674,6,"952"
5,674,7,"988"
5,674,8,"1035"
5,674,9,"1710"
5,674,10,"1975"
6,984,1,"32"
6,984,2,"73"
6,984,3,"284"
6,984,4,"600"
6,984,5,"750"
6,984,6,"759"
6,984,7,"788"
6,984,8,"1280"
6,984,9,"1448"
6,984,10,"1494"
7,1470,1,"13"
7,1470,2,"204"
7,1470,3,"343"
7,1470,4,"416"
7,1470,5,"648"
7,1470,6,"789"
7,1470,7,"1086"
7,1470,8,"1150"
7,1470,9,"1461"
7,1470,10,"1659"
8,1570,1,"75"
8,1570,2,"395"
8,1570,3,"525"
8,1570,4,"579"
8,1570,5,"778"
8,1570,6,"861"
8,1570,7,"1001"
8,1570,8,"1460"
8,1570,9,"1646"
8,1570,10,"1850"
9,1644,1,"40"
9,1644,2,"154"
9,1644,3,"385"
9,1644,4,"406"
9,1644,5,"667"
9,1644,6,"846"
9,1644,7,"894"
9,1644,8,"928"
9,1644,9,"1007"
9,1644,10,"1382"
10,1663,1,"678"
10,1663,2,"685"
10,1663,3,"931"
10,1663,4,"1330"
10,1663,5,"1407"
10,1663,6,"1471"
10,1663,7,"1486"
10,1663,8,"1594"
10,1663,9,"1667"
10,1663,10,"1681"
11,1702,1,"426"
11,1702,2,"960"
11,1702,3,"1001"
11,1702,4,"1258"
11,1702,5,"1335"
11,1702,6,"1548"
11,1702,7,"1571"
11,1702,8,"1619"
11,1702,9,"1802"
11,1702,10,"1902"
12,1935,1,"343"
12,1935,2,"456"
12,1935,3,"720"
12,1935,4,"903"
12,1935,5,"1090"
12,1935,6,"1168"
12,1935,7,"1224"
12,1935,8,"1324"
12,1935,9,"1507"
12,1935,10,"1518"
13,2062,1,"164"
13,2062,2,"272"
13,2062,3,"403"
13,2062,4,"563"
13,2062,5,"627"
13,2062,6,"1310"
13,2062,7,"1437"
13,2062,8,"1656"
13,2062,9,"1826"
13,2062,10,"1902"
14,2098,1,"170"
14,2098,2,"323"
14,2098,3,"403"
14,2098,4,"414"
14,2098,5,"624"
14,2098,6,"814"
14,2098,7,"1065"
14,2098,8,"1618"
14,2098,9,"1668"
14,2098,10,"1938"
15,2302,1,"496"
15,2302,2,"576"
15,2302,3,"891"
15,2302,4,"929"
15,2302,5,"944"
15,2302,6,"1153"
15,2302,7,"1247"
15,2302,8,"1406"
15,2302,9,"1507"
15,2302,10,"1616"
16,2462,1,"212"
16,2462,2,"282"
16,2462,3,"288"
16,2462,4,"664"
16,2462,5,"818"
16,2462,6,"918"
16,2462,7,"1162"
16,2462,8,"1382"
16,2462,9,"1506"
16,2462,10,"1760"
17,3037,1,"17"
17,3037,2,"40"
17,3037,3,"112"
