"user_index","child_id","item_rank","story_id"
1,71,1,50
1,71,2,321
1,71,3,407
1,71,4,448
1,71,5,601
1,71,6,642
1,71,7,1043
1,71,8,1262
1,71,9,1604
1,71,10,1688
2,94,1,107
2,94,2,318
2,94,3,692
2,94,4,795
2,94,5,929
2,94,6,1023
2,94,7,1472
2,94,8,1498
2,94,9,1934
2,94,10,1973
3,362,1,1
3,362,2,77
3,362,3,198
3,362,4,291
3,362,5,313
3,362,6,513
3,362,7,729
3,362,8,887
3,362,9,909
3,362,10,1853
4,547,1,24
4,547,2,216
4,547,3,393
4,547,4,812
4,547,5,991
4,547,6,1192
4,547,7,1357
4,547,8,1371
4,547,9,1703
4,547,10,1708
5,674,1,513
5,674,2,707
5,674,3,767
5,674,4,1289
5,674,5,1533
5,674,6,1540
5,674,7,1560
5,674,8,1717
5,674,9,1808
5,674,10,1854
6,984,1,96
6,984,2,377
6,984,3,812
6,984,4,968
6,984,5,1040
6,984,6,1326
6,984,7,1351
6,984,8,1492
6,984,9,1587
6,984,10,1966
7,1470,1,39
7,1470,2,88
7,1470,3,224
7,1470,4,326
7,1470,5,351
7,1470,6,369
7,1470,7,426
7,1470,8,595
7,1470,9,1199
7,1470,10,1327
8,1570,1,4
8,1570,2,196
8,1570,3,255
8,1570,4,352
8,1570,5,818
8,1570,6,894
8,1570,7,1009
8,1570,8,1045
8,1570,9,1060
8,1570,10,1385
9,1644,1,525
9,1644,2,812
9,1644,3,1111
9,1644,4,1302
9,1644,5,1343
9,1644,6,1691
9,1644,7,1703
9,1644,8,1725
9,1644,9,1732
9,1644,10,1834
10,1663,1,27
10,1663,2,50
10,1663,3,77
10,1663,4,229
10,1663,5,442
10,1663,6,454
10,1663,7,740
10,1663,8,755
10,1663,9,846
10,1663,10,1853
11,1702,1,207
11,1702,2,339
11,1702,3,622
11,1702,4,746
11,1702,5,1029
11,1702,6,1374
11,1702,7,1444
11,1702,8,1548
11,1702,9,1661
11,1702,10,1717
12,1935,1,255
12,1935,2,504
12,1935,3,532
12,1935,4,655
12,1935,5,696
12,1935,6,814
12,1935,7,1301
12,1935,8,1442
12,1935,9,1729
12,1935,10,1968
13,2062,1,166
13,2062,2,175
13,2062,3,207
13,2062,4,307
13,2062,5,917
13,2062,6,1150
13,2062,7,1191
13,2062,8,1509
13,2062,9,1669
13,2062,10,1887
14,2098,1,699
14,2098,2,765
14,2098,3,814
14,2098,4,991
14,2098,5,1355
14,2098,6,1384
14,2098,7,1478
14,2098,8,1548
14,2098,9,1745
14,2098,10,1975
15,2302,1,98
15,2302,2,235
15,2302,3,670
15,2302,4,951
15,2302,5,1029
15,2302,6,1281
15,2302,7,1468
15,2302,8,1584
15,2302,9,1698
15,2302,10,1817
16,2462,1,402
16,2462,2,727
16,2462,3,766
16,2462,4,987
16,2462,5,1121
16,2462,6,1158
16,2462,7,1211
16,2462,8,1455
16,2462,9,1712
16,2462,10,1957
17,3037,1,101
17,3037,2,448
17,3037,3,913
17,3037,4,924
17,3037,5,946
17,3037,6,985
17,3037,7,1159
17,3037,8,1533
17,3037,9,1667
17,3037,10,1808
18,3051,1,176
18,3051,2,415
18,3051,3,536
18,3051,4,744
18,3051,5,957
18,3051,6,1057
18,3051,7,1122
18,3051,8,1620
18,3051,9,1815
18,3051,10,1955
19,3100,1,257
19,3100,2,486
19,3100,3,600
19,3100,4,634
19,3100,5,692
19,3100,6,1025
19,3100,7,1127
19,3100,8,1208
19,3100,9,1403
19,3100,10,1663
20,3928,1,320
20,3928,2,322
20,3928,3,364
20,3928,4,818
20,3928,5,1077
20,3928,6,1083
20,3928,7,1088
20,3928,8,1323
20,3928,9,1459
20,3928,10,1626
21,3994,1,198
21,3994,2,297
21,3994,3,415
21,3994,4,794
21,3994,5,873
21,3994,6,1070
21,3994,7,1186
21,3994,8,1256
21,3994,9,1654
21,3994,10,1695
22,4231,1,261
22,4231,2,318
22,4231,3,456
22,4231,4,471
22,4231,5,619
22,4231,6,780
22,4231,7,987
22,4231,8,1116
22,4231,9,1162
22,4231,10,1732
23,4318,1,482
23,4318,2,550
23,4318,3,657
23,4318,4,688
23,4318,5,892
23,4318,6,927
23,4318,7,1175
23,4318,8,1465
23,4318,9,1606
23,4318,10,1725
24,4536,1,12
24,4536,2,194
24,4536,3,210
24,4536,4,216
24,4536,5,402
24,4536,6,596
24,4536,7,810
24,4536,8,1051
24,4536,9,1210
24,4536,10,1495
25,4548,1,110
25,4548,2,145
25,4548,3,407
25,4548,4,496
25,4548,5,515
25,4548,6,670
25,4548,7,790
25,4548,8,864
25,4548,9,1570
25,4548,10,1756
26,5335,1,32
26,5335,2,127
26,5335,3,322
26,5335,4,489
26,5335,5,507
26,5335,6,740
26,5335,7,990
26,5335,8,1153
26,5335,9,1322
26,5335,10,1872
27,5402,1,40
27,5402,2,282
27,5402,3,442
27,5402,4,808
27,5402,5,894
27,5402,6,920
27,5402,7,995
27,5402,8,1302
27,5402,9,1318
27,5402,10,1813
28,5672,1,1
28,5672,2,209
28,5672,3,235
28,5672,4,662
28,5672,5,820
28,5672,6,1028
28,5672,7,1261
28,5672,8,1294
28,5672,9,1603
28,5672,10,1616
29,6359,1,68
29,6359,2,132
29,6359,3,171
29,6359,4,186
29,6359,5,527
29,6359,6,942
29,6359,7,1268
29,6359,8,1288
29,6359,9,1329
29,6359,10,1944
30,6675,1,95
30,6675,2,513
30,6675,3,765
30,6675,4,779
30,6675,5,836
30,6675,6,935
30,6675,7,973
30,6675,8,1059
30,6675,9,1181
30,6675,10,1254
31,6804,1,251
31,6804,2,716
31,6804,3,739
31,6804,4,1279
31,6804,5,1422
31,6804,6,1450
31,6804,7,1701
31,6804,8,1775
31,6804,9,1778
31,6804,10,1908
32,6893,1,111
32,6893,2,410
32,6893,3,707
32,6893,4,1057
32,6893,5,1216
32,6893,6,1262
32,6893,7,1276
32,6893,8,1283
32,6893,9,1545
32,6893,10,1956
33,6901,1,547
33,6901,2,924
33,6901,3,1024
33,6901,4,1040
33,6901,5,1366
33,6901,6,1384
33,6901,7,1469
33,6901,8,1504
33,6901,9,1633
33,6901,10,1829
34,6911,1,350
34,6911,2,499
34,6911,3,532
34,6911,4,534
34,6911,5,819
34,6911,6,1103
34,6911,7,1220
34,6911,8,1436
34,6911,9,1492
34,6911,10,1653
35,6914,1,393
35,6914,2,438
35,6914,3,463
35,6914,4,505
35,6914,5,692
35,6914,6,767
35,6914,7,945
35,6914,8,1177
35,6914,9,1337
35,6914,10,1813
36,7233,1,354
36,7233,2,375
36,7233,3,472
36,7233,4,993
36,7233,5,1195
36,7233,6,1352
36,7233,7,1505
36,7233,8,1691
36,7233,9,1798
36,7233,10,1938
37,7243,1,205
37,7243,2,240
37,7243,3,653
37,7243,4,979
37,7243,5,1024
37,7243,6,1064
37,7243,7,1211
37,7243,8,1389
37,7243,9,1613
37,7243,10,1778
38,7317,1,1
38,7317,2,353
38,7317,3,378
38,7317,4,733
38,7317,5,988
38,7317,6,1003
38,7317,7,1035
38,7317,8,1561
38,7317,9,1631
38,7317,10,1898
39,7613,1,4
39,7613,2,48
39,7613,3,50
39,7613,4,418
39,7613,5,766
39,7613,6,885
39,7613,7,1093
39,7613,8,1112
39,7613,9,1781
39,7613,10,1796
40,7874,1,36
40,7874,2,200
40,7874,3,586
40,7874,4,754
40,7874,5,1000
40,7874,6,1276
40,7874,7,1406
40,7874,8,1545
40,7874,9,1561
40,7874,10,1974
41,8131,1,201
41,8131,2,785
41,8131,3,950
41,8131,4,1127
41,8131,5,1144
41,8131,6,1191
41,8131,7,1329
41,8131,8,1580
41,8131,9,1876
41,8131,10,1925
42,8576,1,12
42,8576,2,318
42,8576,3,440
42,8576,4,693
42,8576,5,1003
42,8576,6,1087
42,8576,7,1299
42,8576,8,1352
42,8576,9,1649
42,8576,10,1668
43,8592,1,693
43,8592,2,742
43,8592,3,892
43,8592,4,952
43,8592,5,968
43,8592,6,1318
43,8592,7,1389
43,8592,8,1604
43,8592,9,1618
43,8592,10,1898
44,8606,1,123
44,8606,2,307
44,8606,3,426
44,8606,4,444
44,8606,5,510
44,8606,6,1007
44,8606,7,1194
44,8606,8,1234
44,8606,9,1677
44,8606,10,1886
45,8730,1,100
45,8730,2,753
45,8730,3,945
45,8730,4,973
45,8730,5,981
45,8730,6,1357
45,8730,7,1438
45,8730,8,1566
45,8730,9,1709
45,8730,10,1798
46,8879,1,281
46,8879,2,282
46,8879,3,357
46,8879,4,492
46,8879,5,563
46,8879,6,674
46,8879,7,800
46,8879,8,812
46,8879,9,1146
46,8879,10,1731
47,8938,1,421
47,8938,2,550
47,8938,3,897
47,8938,4,949
47,8938,5,952
47,8938,6,1088
47,8938,7,1187
47,8938,8,1335
47,8938,9,1639
47,8938,10,1758
48,9607,1,393
48,9607,2,395
48,9607,3,418
48,9607,4,768
48,9607,5,1187
48,9607,6,1201
48,9607,7,1317
48,9607,8,1321
48,9607,9,1558
48,9607,10,1666
49,9977,1,4
49,9977,2,211
49,9977,3,269
49,9977,4,305
49,9977,5,328
49,9977,6,670
49,9977,7,754
49,9977,8,778
49,9977,9,1405
49,9977,10,1817
50,10000,1,166
50,10000,2,919
50,10000,3,993
50,10000,4,1116
50,10000,5,1532
50,10000,6,1543
50,10000,7,1562
50,10000,8,1676
50,10000,9,1887
50,10000,10,1953
51,10191,1,93
51,10191,2,212
51,10191,3,585
51,10191,4,670
51,10191,5,907
51,10191,6,1088
51,10191,7,1177
51,10191,8,1536
51,10191,9,1654
51,10191,10,1976
52,10335,1,57
52,10335,2,402
52,10335,3,414
52,10335,4,576
52,10335,5,854
52,10335,6,1366
52,10335,7,1566
52,10335,8,1640
52,10335,9,1826
52,10335,10,1925
53,10412,1,50
53,10412,2,307
53,10412,3,376
53,10412,4,606
53,10412,5,905
53,10412,6,957
53,10412,7,1054
53,10412,8,1106
53,10412,9,1451
53,10412,10,1600
54,10678,1,82
54,10678,2,424
54,10678,3,727
54,10678,4,794
54,10678,5,846
54,10678,6,1216
54,10678,7,1252
54,10678,8,1587
54,10678,9,1601
54,10678,10,1961
55,10689,1,341
55,10689,2,442
55,10689,3,811
55,10689,4,819
55,10689,5,1104
55,10689,6,1148
55,10689,7,1191
55,10689,8,1560
55,10689,9,1615
55,10689,10,1965
56,10714,1,653
56,10714,2,1050
56,10714,3,1054
56,10714,4,1098
56,10714,5,1102
56,10714,6,1192
56,10714,7,1279
56,10714,8,1334
56,10714,9,1639
56,10714,10,1965
57,10727,1,515
57,10727,2,591
57,10727,3,767
57,10727,4,1050
57,10727,5,1154
57,10727,6,1201
57,10727,7,1286
57,10727,8,1580
57,10727,9,1649
57,10727,10,1957
58,10908,1,0
58,10908,2,212
58,10908,3,330
58,10908,4,448
58,10908,5,620
58,10908,6,1084
58,10908,7,1125
58,10908,8,1541
58,10908,9,1770
58,10908,10,1936
59,10949,1,71
59,10949,2,211
59,10949,3,341
59,10949,4,545
59,10949,5,844
59,10949,6,1079
59,10949,7,1132
