"user_index","child_id","item_rank","story_id"
1,71,1,39
1,71,2,75
1,71,3,200
1,71,4,318
1,71,5,536
1,71,6,563
1,71,7,925
1,71,8,1379
1,71,9,1942
1,71,10,1956
2,94,1,24
2,94,2,63
2,94,3,95
2,94,4,372
2,94,5,753
2,94,6,818
2,94,7,998
2,94,8,1029
2,94,9,1095
2,94,10,1677
3,362,1,246
3,362,2,423
3,362,3,505
3,362,4,510
3,362,5,779
3,362,6,1033
3,362,7,1077
3,362,8,1093
3,362,9,1568
3,362,10,1717
4,547,1,200
4,547,2,224
4,547,3,423
4,547,4,510
4,547,5,779
4,547,6,960
4,547,7,1003
4,547,8,1093
4,547,9,1287
4,547,10,1568
5,674,1,318
5,674,2,479
5,674,3,496
5,674,4,613
5,674,5,1279
5,674,6,1368
5,674,7,1634
5,674,8,1925
5,674,9,1956
5,674,10,1966
6,984,1,23
6,984,2,24
6,984,3,63
6,984,4,95
6,984,5,114
6,984,6,186
6,984,7,608
6,984,8,753
6,984,9,818
6,984,10,1029
7,1470,1,39
7,1470,2,75
7,1470,3,117
7,1470,4,318
7,1470,5,452
7,1470,6,536
7,1470,7,563
7,1470,8,925
7,1470,9,1379
7,1470,10,1966
8,1570,1,373
8,1570,2,536
8,1570,3,641
8,1570,4,661
8,1570,5,720
8,1570,6,789
8,1570,7,1128
8,1570,8,1379
8,1570,9,1933
8,1570,10,1975
9,1644,1,200
9,1644,2,224
9,1644,3,318
9,1644,4,326
9,1644,5,457
9,1644,6,925
9,1644,7,1111
9,1644,8,1186
9,1644,9,1687
9,1644,10,1956
10,1663,1,39
10,1663,2,75
10,1663,3,200
10,1663,4,318
10,1663,5,373
10,1663,6,457
10,1663,7,536
10,1663,8,789
10,1663,9,925
10,1663,10,1379
11,1702,1,24
11,1702,2,63
11,1702,3,95
11,1702,4,200
11,1702,5,224
11,1702,6,318
11,1702,7,457
11,1702,8,753
11,1702,9,818
11,1702,10,925
12,1935,1,224
12,1935,2,423
12,1935,3,505
12,1935,4,510
12,1935,5,648
12,1935,6,960
12,1935,7,1003
12,1935,8,1093
12,1935,9,1287
12,1935,10,1730
13,2062,1,246
13,2062,2,505
13,2062,3,779
13,2062,4,964
13,2062,5,1003
13,2062,6,1077
13,2062,7,1155
13,2062,8,1326
13,2062,9,1381
13,2062,10,1717
14,2098,1,200
14,2098,2,318
14,2098,3,360
14,2098,4,620
14,2098,5,925
14,2098,6,1028
14,2098,7,1163
14,2098,8,1260
14,2098,9,1368
14,2098,10,1697
15,2302,1,200
15,2302,2,224
15,2302,3,360
15,2302,4,925
15,2302,5,1028
15,2302,6,1111
15,2302,7,1163
15,2302,8,1260
15,2302,9,1618
15,2302,10,1666
16,2462,1,39
16,2462,2,75
16,2462,3,117
16,2462,4,452
16,2462,5,536
16,2462,6,563
16,2462,7,720
16,2462,8,1379
16,2462,9,1464
16,2462,10,1966
17,3037,1,98
17,3037,2,424
17,3037,3,974
17,3037,4,1170
17,3037,5,1262
17,3037,6,1505
17,3037,7,1541
17,3037,8,1803
17,3037,9,1812
17,3037,10,1869
18,3051,1,373
18,3051,2,536
18,3051,3,641
18,3051,4,661
18,3051,5,720
18,3051,6,789
18,3051,7,882
18,3051,8,1379
18,3051,9,1933
18,3051,10,1975
19,3100,1,200
19,3100,2,214
19,3100,3,318
19,3100,4,341
19,3100,5,457
19,3100,6,613
19,3100,7,859
19,3100,8,909
19,3100,9,925
19,3100,10,1028
20,3928,1,39
20,3928,2,117
20,3928,3,373
20,3928,4,449
20,3928,5,452
20,3928,6,536
20,3928,7,789
20,3928,8,1379
20,3928,9,1763
20,3928,10,1880
21,3994,1,39
21,3994,2,117
21,3994,3,200
21,3994,4,318
21,3994,5,457
21,3994,6,536
21,3994,7,613
21,3994,8,1186
21,3994,9,1942
21,3994,10,1956
22,4231,1,373
22,4231,2,641
22,4231,3,661
22,4231,4,720
22,4231,5,789
22,4231,6,882
22,4231,7,1382
22,4231,8,1720
22,4231,9,1933
22,4231,10,1975
23,4318,1,39
23,4318,2,75
23,4318,3,128
23,4318,4,723
23,4318,5,835
23,4318,6,1064
23,4318,7,1379
23,4318,8,1480
23,4318,9,1817
23,4318,10,1966
24,4536,1,1
24,4536,2,39
24,4536,3,75
24,4536,4,536
24,4536,5,835
24,4536,6,1212
24,4536,7,1351
24,4536,8,1379
24,4536,9,1817
24,4536,10,1966
25,4548,1,23
25,4548,2,24
25,4548,3,63
25,4548,4,95
25,4548,5,114
25,4548,6,186
25,4548,7,608
25,4548,8,753
25,4548,9,818
25,4548,10,1029
26,5335,1,24
26,5335,2,63
26,5335,3,95
26,5335,4,200
26,5335,5,224
26,5335,6,318
26,5335,7,753
26,5335,8,818
26,5335,9,925
26,5335,10,1029
27,5402,1,21
27,5402,2,30
27,5402,3,111
27,5402,4,175
27,5402,5,180
27,5402,6,237
27,5402,7,260
27,5402,8,292
27,5402,9,303
27,5402,10,343
28,5672,1,246
28,5672,2,380
28,5672,3,510
28,5672,4,648
28,5672,5,779
28,5672,6,960
28,5672,7,1003
28,5672,8,1033
28,5672,9,1077
28,5672,10,1093
29,6359,1,128
29,6359,2,200
29,6359,3,318
29,6359,4,443
29,6359,5,479
29,6359,6,620
29,6359,7,1028
29,6359,8,1260
29,6359,9,1618
29,6359,10,1956
30,6675,1,200
30,6675,2,360
30,6675,3,505
30,6675,4,925
30,6675,5,1028
30,6675,6,1163
30,6675,7,1186
30,6675,8,1260
30,6675,9,1577
30,6675,10,1618
31,6804,1,12
31,6804,2,200
31,6804,3,318
31,6804,4,457
31,6804,5,479
31,6804,6,613
31,6804,7,925
31,6804,8,1368
31,6804,9,1634
31,6804,10,1956
32,6893,1,200
32,6893,2,318
32,6893,3,647
32,6893,4,720
32,6893,5,925
32,6893,6,1087
32,6893,7,1594
32,6893,8,1603
32,6893,9,1647
32,6893,10,1938
33,6901,1,200
33,6901,2,224
33,6901,3,246
33,6901,4,318
33,6901,5,341
33,6901,6,859
33,6901,7,909
33,6901,8,1028
33,6901,9,1255
33,6901,10,1260
34,6911,1,128
34,6911,2,200
34,6911,3,318
34,6911,4,620
34,6911,5,925
34,6911,6,1028
34,6911,7,1260
34,6911,8,1368
34,6911,9,1618
34,6911,10,1956
35,6914,1,200
35,6914,2,224
35,6914,3,318
35,6914,4,457
35,6914,5,727
35,6914,6,925
35,6914,7,1111
35,6914,8,1186
35,6914,9,1406
35,6914,10,1938
36,7233,1,200
36,7233,2,224
36,7233,3,246
36,7233,4,380
36,7233,5,779
36,7233,6,960
36,7233,7,1003
36,7233,8,1093
36,7233,9,1155
36,7233,10,1568
37,7243,1,39
37,7243,2,200
37,7243,3,224
37,7243,4,318
37,7243,5,457
37,7243,6,536
37,7243,7,925
37,7243,8,1186
37,7243,9,1379
37,7243,10,1956
38,7317,1,23
38,7317,2,24
38,7317,3,63
38,7317,4,95
38,7317,5,200
38,7317,6,318
38,7317,7,608
38,7317,8,753
38,7317,9,818
38,7317,10,1029
39,7613,1,224
39,7613,2,246
39,7613,3,380
39,7613,4,648
39,7613,5,779
39,7613,6,960
39,7613,7,1003
39,7613,8,1033
39,7613,9,1093
39,7613,10,1568
40,7874,1,373
40,7874,2,536
40,7874,3,641
40,7874,4,661
40,7874,5,720
40,7874,6,789
40,7874,7,882
40,7874,8,1720
40,7874,9,1933
40,7874,10,1975
41,8131,1,23
41,8131,2,24
41,8131,3,63
41,8131,4,95
41,8131,5,200
41,8131,6,318
41,8131,7,608
41,8131,8,753
41,8131,9,818
41,8131,10,925
42,8576,1,200
42,8576,2,224
42,8576,3,318
42,8576,4,457
42,8576,5,779
42,8576,6,925
42,8576,7,1003
42,8576,8,1028
42,8576,9,1163
42,8576,10,1260
43,8592,1,373
43,8592,2,641
43,8592,3,647
43,8592,4,661
43,8592,5,720
43,8592,6,774
43,8592,7,789
43,8592,8,882
43,8592,9,1933
43,8592,10,1975
44,8606,1,373
44,8606,2,641
44,8606,3,661
44,8606,4,720
44,8606,5,774
44,8606,6,789
44,8606,7,882
