"user_index","child_id","item_rank","story_id"
1,71,1,"163"
1,71,2,"257"
1,71,3,"266"
1,71,4,"766"
1,71,5,"873"
1,71,6,"1001"
1,71,7,"1060"
1,71,8,"1090"
1,71,9,"1437"
1,71,10,"1741"
2,94,1,"82"
2,94,2,"364"
2,94,3,"733"
2,94,4,"932"
2,94,5,"1065"
2,94,6,"1071"
2,94,7,"1104"
2,94,8,"1216"
2,94,9,"1400"
2,94,10,"1713"
3,362,1,"199"
3,362,2,"302"
3,362,3,"311"
3,362,4,"314"
3,362,5,"375"
3,362,6,"533"
3,362,7,"680"
3,362,8,"1353"
3,362,9,"1664"
3,362,10,"1819"
4,547,1,"109"
4,547,2,"125"
4,547,3,"192"
4,547,4,"470"
4,547,5,"472"
4,547,6,"672"
4,547,7,"997"
4,547,8,"1476"
4,547,9,"1556"
4,547,10,"1890"
5,674,1,"58"
5,674,2,"272"
5,674,3,"375"
5,674,4,"588"
5,674,5,"603"
5,674,6,"672"
5,674,7,"709"
5,674,8,"1556"
5,674,9,"1597"
5,674,10,"1701"
6,984,1,"72"
6,984,2,"156"
6,984,3,"698"
6,984,4,"1299"
6,984,5,"1410"
6,984,6,"1598"
6,984,7,"1650"
6,984,8,"1729"
6,984,9,"1865"
6,984,10,"1883"
7,1470,1,"199"
7,1470,2,"357"
7,1470,3,"472"
7,1470,4,"690"
7,1470,5,"765"
7,1470,6,"1071"
7,1470,7,"1127"
7,1470,8,"1208"
7,1470,9,"1459"
7,1470,10,"1858"
8,1570,1,"20"
8,1570,2,"376"
8,1570,3,"589"
8,1570,4,"619"
8,1570,5,"905"
8,1570,6,"952"
8,1570,7,"1224"
8,1570,8,"1673"
8,1570,9,"1924"
8,1570,10,"1976"
9,1644,1,"28"
9,1644,2,"73"
9,1644,3,"166"
9,1644,4,"394"
9,1644,5,"485"
9,1644,6,"690"
9,1644,7,"907"
9,1644,8,"1077"
9,1644,9,"1533"
9,1644,10,"1598"
10,1663,1,"464"
10,1663,2,"834"
10,1663,3,"928"
10,1663,4,"1001"
10,1663,5,"1359"
10,1663,6,"1472"
10,1663,7,"1563"
10,1663,8,"1607"
10,1663,9,"1639"
10,1663,10,"1766"
11,1702,1,"163"
11,1702,2,"314"
11,1702,3,"472"
11,1702,4,"951"
11,1702,5,"1071"
11,1702,6,"1400"
11,1702,7,"1426"
11,1702,8,"1527"
11,1702,9,"1597"
11,1702,10,"1819"
12,1935,1,"192"
12,1935,2,"207"
12,1935,3,"330"
12,1935,4,"375"
12,1935,5,"472"
12,1935,6,"657"
12,1935,7,"1006"
12,1935,8,"1208"
12,1935,9,"1294"
12,1935,10,"1701"
13,2062,1,"163"
13,2062,2,"302"
13,2062,3,"550"
13,2062,4,"642"
13,2062,5,"1001"
13,2062,6,"1086"
13,2062,7,"1426"
13,2062,8,"1533"
13,2062,9,"1597"
13,2062,10,"1928"
14,2098,1,"112"
14,2098,2,"983"
14,2098,3,"1220"
14,2098,4,"1426"
14,2098,5,"1556"
14,2098,6,"1597"
14,2098,7,"1701"
14,2098,8,"1769"
14,2098,9,"1921"
14,2098,10,"1928"
15,2302,1,"32"
15,2302,2,"211"
15,2302,3,"464"
15,2302,4,"676"
15,2302,5,"766"
15,2302,6,"834"
