"user_index","child_id","item_rank","story_id"
1,71,1,58
1,71,2,380
1,71,3,406
1,71,4,470
1,71,5,603
1,71,6,672
1,71,7,745
1,71,8,1014
1,71,9,1523
1,71,10,1890
2,94,1,132
2,94,2,364
2,94,3,424
2,94,4,572
2,94,5,917
2,94,6,918
2,94,7,932
2,94,8,1335
2,94,9,1713
2,94,10,1771
3,362,1,125
3,362,2,395
3,362,3,396
3,362,4,498
3,362,5,805
3,362,6,846
3,362,7,1220
3,362,8,1556
3,362,9,1721
3,362,10,1769
4,547,1,112
4,547,2,313
4,547,3,419
4,547,4,642
4,547,5,672
4,547,6,918
4,547,7,1102
4,547,8,1721
4,547,9,1769
4,547,10,1928
5,674,1,177
5,674,2,204
5,674,3,313
5,674,4,406
5,674,5,424
5,674,6,550
5,674,7,649
5,674,8,1523
5,674,9,1798
5,674,10,1808
6,984,1,14
6,984,2,689
6,984,3,983
6,984,4,1132
6,984,5,1405
6,984,6,1471
6,984,7,1492
6,984,8,1570
6,984,9,1796
6,984,10,1880
7,1470,1,58
7,1470,2,533
7,1470,3,642
7,1470,4,648
7,1470,5,946
7,1470,6,951
7,1470,7,1014
7,1470,8,1077
7,1470,9,1597
7,1470,10,1974
8,1570,1,14
8,1570,2,172
8,1570,3,380
8,1570,4,401
8,1570,5,406
8,1570,6,596
8,1570,7,601
8,1570,8,626
8,1570,9,1595
8,1570,10,1974
9,1644,1,14
9,1644,2,58
9,1644,3,192
9,1644,4,596
9,1644,5,1012
9,1644,6,1083
9,1644,7,1102
9,1644,8,1679
9,1644,9,1701
9,1644,10,1948
10,1663,1,4
10,1663,2,163
10,1663,3,570
10,1663,4,733
10,1663,5,846
10,1663,6,974
10,1663,7,1086
10,1663,8,1250
10,1663,9,1523
10,1663,10,1921
11,1702,1,112
11,1702,2,204
11,1702,3,572
11,1702,4,974
11,1702,5,1012
11,1702,6,1072
11,1702,7,1533
11,1702,8,1597
11,1702,9,1679
11,1702,10,1701
12,1935,1,73
12,1935,2,112
12,1935,3,419
12,1935,4,435
12,1935,5,498
12,1935,6,1204
12,1935,7,1543
12,1935,8,1631
12,1935,9,1679
12,1935,10,1931
13,2062,1,572
13,2062,2,688
13,2062,3,918
13,2062,4,983
13,2062,5,1054
13,2062,6,1137
13,2062,7,1597
13,2062,8,1721
13,2062,9,1769
13,2062,10,1921
14,2098,1,204
14,2098,2,396
14,2098,3,759
14,2098,4,789
14,2098,5,1216
14,2098,6,1352
14,2098,7,1527
14,2098,8,1558
14,2098,9,1677
14,2098,10,1746
15,2302,1,133
15,2302,2,435
15,2302,3,642
15,2302,4,733
15,2302,5,951
15,2302,6,1137
15,2302,7,1426
15,2302,8,1543
15,2302,9,1597
15,2302,10,1769
16,2462,1,4
16,2462,2,177
16,2462,3,192
16,2462,4,630
16,2462,5,689
16,2462,6,957
16,2462,7,974
16,2462,8,1083
16,2462,9,1165
16,2462,10,1220
17,3037,1,41
17,3037,2,396
17,3037,3,570
17,3037,4,759
17,3037,5,1072
17,3037,6,1442
17,3037,7,1461
17,3037,8,1505
17,3037,9,1533
17,3037,10,1812
18,3051,1,98
18,3051,2,314
18,3051,3,396
18,3051,4,570
18,3051,5,596
18,3051,6,1086
18,3051,7,1262
18,3051,8,1442
18,3051,9,1461
18,3051,10,1928
19,3100,1,396
19,3100,2,424
19,3100,3,805
19,3100,4,949
19,3100,5,1205
19,3100,6,1220
19,3100,7,1294
19,3100,8,1335
19,3100,9,1442
19,3100,10,1771
20,3928,1,177
20,3928,2,409
20,3928,3,957
20,3928,4,983
20,3928,5,1012
20,3928,6,1083
20,3928,7,1165
20,3928,8,1300
20,3928,9,1556
20,3928,10,1639
21,3994,1,112
21,3994,2,395
21,3994,3,419
21,3994,4,498
21,3994,5,642
21,3994,6,805
21,3994,7,1072
21,3994,8,1102
21,3994,9,1294
21,3994,10,1769
22,4231,1,14
22,4231,2,68
22,4231,3,177
22,4231,4,204
22,4231,5,570
22,4231,6,630
22,4231,7,733
22,4231,8,872
22,4231,9,1527
22,4231,10,1533
23,4318,1,132
23,4318,2,395
23,4318,3,649
