"user_index","child_id","item_rank","story_id"
1,71,1,1
1,71,2,60
1,71,3,72
1,71,4,255
1,71,5,542
1,71,6,1001
1,71,7,1293
1,71,8,1404
1,71,9,1498
1,71,10,1968
2,94,1,464
2,94,2,482
2,94,3,551
2,94,4,959
2,94,5,1070
2,94,6,1319
2,94,7,1451
2,94,8,1597
2,94,9,1664
2,94,10,1729
3,362,1,345
3,362,2,394
3,362,3,472
3,362,4,485
3,362,5,690
3,362,6,790
3,362,7,1204
3,362,8,1208
3,362,9,1459
3,362,10,1903
4,547,1,73
4,547,2,266
4,547,3,601
4,547,4,700
4,547,5,766
4,547,6,960
4,547,7,1071
4,547,8,1562
4,547,9,1598
4,547,10,1661
5,674,1,32
5,674,2,138
5,674,3,295
5,674,4,830
5,674,5,928
5,674,6,1011
5,674,7,1060
5,674,8,1419
5,674,9,1758
5,674,10,1766
6,984,1,302
6,984,2,588
6,984,3,814
6,984,4,834
6,984,5,1071
6,984,6,1527
6,984,7,1550
6,984,8,1597
6,984,9,1613
6,984,10,1903
7,1470,1,32
7,1470,2,250
7,1470,3,463
7,1470,4,464
7,1470,5,692
7,1470,6,891
7,1470,7,982
7,1470,8,1280
7,1470,9,1293
7,1470,10,1460
8,1570,1,363
8,1570,2,464
8,1570,3,588
8,1570,4,692
8,1570,5,1178
8,1570,6,1419
8,1570,7,1527
8,1570,8,1528
8,1570,9,1584
8,1570,10,1829
9,1644,1,166
9,1644,2,257
9,1644,3,355
9,1644,4,412
9,1644,5,504
9,1644,6,676
9,1644,7,995
9,1644,8,1102
9,1644,9,1375
9,1644,10,1921
10,1663,1,26
10,1663,2,32
10,1663,3,107
10,1663,4,354
10,1663,5,426
10,1663,6,873
10,1663,7,1280
10,1663,8,1437
10,1663,9,1766
10,1663,10,1830
11,1702,1,302
11,1702,2,355
11,1702,3,485
11,1702,4,812
11,1702,5,1337
11,1702,6,1375
11,1702,7,1426
11,1702,8,1610
11,1702,9,1766
11,1702,10,1903
12,1935,1,215
12,1935,2,261
12,1935,3,485
12,1935,4,809
12,1935,5,1086
12,1935,6,1407
12,1935,7,1530
12,1935,8,1688
12,1935,9,1813
12,1935,10,1969
13,2062,1,344
13,2062,2,455
13,2062,3,733
13,2062,4,790
13,2062,5,920
13,2062,6,987
13,2062,7,1533
13,2062,8,1663
13,2062,9,1896
13,2062,10,1903
14,2098,1,145
14,2098,2,412
14,2098,3,426
14,2098,4,464
14,2098,5,504
14,2098,6,550
14,2098,7,1528
14,2098,8,1636
14,2098,9,1741
14,2098,10,1891
15,2302,1,4
15,2302,2,86
15,2302,3,362
15,2302,4,520
15,2302,5,891
15,2302,6,1280
15,2302,7,1425
15,2302,8,1460
15,2302,9,1610
15,2302,10,1666
16,2462,1,250
16,2462,2,362
16,2462,3,464
16,2462,4,484
16,2462,5,692
16,2462,6,700
16,2462,7,1460
16,2462,8,1559
16,2462,9,1584
16,2462,10,1829
17,3037,1,32
17,3037,2,107
17,3037,3,166
17,3037,4,485
17,3037,5,515
17,3037,6,1011
17,3037,7,1102
17,3037,8,1375
17,3037,9,1438
17,3037,10,1610
18,3051,1,71
18,3051,2,135
18,3051,3,464
18,3051,4,1268
18,3051,5,1359
18,3051,6,1438
18,3051,7,1709
18,3051,8,1830
18,3051,9,1840
18,3051,10,1907
19,3100,1,26
19,3100,2,44
19,3100,3,355
19,3100,4,357
19,3100,5,426
19,3100,6,834
19,3100,7,1060
19,3100,8,1102
19,3100,9,1212
19,3100,10,1280
20,3928,1,354
20,3928,2,550
20,3928,3,834
20,3928,4,891
20,3928,5,1280
20,3928,6,1402
20,3928,7,1419
20,3928,8,1426
20,3928,9,1450
20,3928,10,1921
21,3994,1,35
21,3994,2,117
21,3994,3,205
21,3994,4,504
21,3994,5,1212
21,3994,6,1318
21,3994,7,1353
21,3994,8,1453
21,3994,9,1559
21,3994,10,1976
22,4231,1,135
22,4231,2,504
22,4231,3,808
22,4231,4,834
22,4231,5,1433
22,4231,6,1528
22,4231,7,1559
22,4231,8,1597
22,4231,9,1766
22,4231,10,1921
23,4318,1,355
23,4318,2,412
23,4318,3,501
23,4318,4,676
23,4318,5,808
23,4318,6,1102
23,4318,7,1280
23,4318,8,1426
23,4318,9,1607
23,4318,10,1781
24,4536,1,32
24,4536,2,154
24,4536,3,166
24,4536,4,266
24,4536,5,485
24,4536,6,1011
24,4536,7,1212
24,4536,8,1280
24,4536,9,1423
24,4536,10,1610
25,4548,1,295
25,4548,2,354
25,4548,3,504
25,4548,4,514
25,4548,5,588
25,4548,6,1011
25,4548,7,1528
25,4548,8,1562
25,4548,9,1758
25,4548,10,1766
26,5335,1,166
26,5335,2,464
26,5335,3,812
26,5335,4,891
26,5335,5,920
26,5335,6,1011
26,5335,7,1280
26,5335,8,1426
26,5335,9,1528
26,5335,10,1663
27,5402,1,163
27,5402,2,289
27,5402,3,354
27,5402,4,416
27,5402,5,709
27,5402,6,742
27,5402,7,803
27,5402,8,928
27,5402,9,1010
27,5402,10,1359
28,5672,1,199
28,5672,2,676
28,5672,3,776
28,5672,4,1077
28,5672,5,1294
28,5672,6,1355
28,5672,7,1375
28,5672,8,1472
28,5672,9,1654
28,5672,10,1903
29,6359,1,101
29,6359,2,257
29,6359,3,266
29,6359,4,479
29,6359,5,525
29,6359,6,946
29,6359,7,1084
29,6359,8,1508
29,6359,9,1661
29,6359,10,1900
30,6675,1,172
30,6675,2,504
30,6675,3,709
30,6675,4,840
30,6675,5,891
30,6675,6,1033
30,6675,7,1375
30,6675,8,1577
30,6675,9,1596
30,6675,10,1610
