"user_index","child_id","item_rank","story_id"
1,71,1,"207"
1,71,2,"266"
1,71,3,"302"
1,71,4,"375"
1,71,5,"427"
1,71,6,"550"
1,71,7,"588"
1,71,8,"1294"
1,71,9,"1533"
1,71,10,"1903"
2,94,1,"4"
2,94,2,"199"
2,94,3,"302"
2,94,4,"375"
2,94,5,"709"
2,94,6,"1086"
2,94,7,"1294"
2,94,8,"1389"
2,94,9,"1400"
2,94,10,"1597"
3,362,1,"207"
3,362,2,"302"
3,362,3,"357"
3,362,4,"375"
3,362,5,"427"
3,362,6,"588"
3,362,7,"709"
3,362,8,"1086"
3,362,9,"1294"
3,362,10,"1597"
4,547,1,"4"
4,547,2,"109"
4,547,3,"192"
4,547,4,"302"
4,547,5,"375"
4,547,6,"1086"
4,547,7,"1294"
4,547,8,"1400"
4,547,9,"1533"
4,547,10,"1597"
5,674,1,"199"
5,674,2,"302"
5,674,3,"709"
5,674,4,"759"
5,674,5,"983"
5,674,6,"1086"
5,674,7,"1294"
5,674,8,"1389"
5,674,9,"1533"
5,674,10,"1928"
6,984,1,"207"
6,984,2,"266"
6,984,3,"302"
6,984,4,"375"
6,984,5,"427"
6,984,6,"709"
6,984,7,"1294"
6,984,8,"1353"
6,984,9,"1533"
6,984,10,"1597"
7,1470,1,"266"
7,1470,2,"357"
7,1470,3,"588"
7,1470,4,"709"
7,1470,5,"1086"
7,1470,6,"1208"
7,1470,7,"1353"
7,1470,8,"1400"
7,1470,9,"1597"
7,1470,10,"1903"
8,1570,1,"4"
8,1570,2,"145"
8,1570,3,"266"
8,1570,4,"426"
8,1570,5,"464"
8,1570,6,"709"
8,1570,7,"766"
8,1570,8,"1086"
8,1570,9,"1147"
8,1570,10,"1518"
9,1644,1,"207"
9,1644,2,"266"
9,1644,3,"427"
9,1644,4,"709"
9,1644,5,"1011"
9,1644,6,"1086"
9,1644,7,"1353"
9,1644,8,"1533"
9,1644,9,"1597"
9,1644,10,"1903"
10,1663,1,"4"
10,1663,2,"207"
10,1663,3,"302"
10,1663,4,"375"
10,1663,5,"427"
10,1663,6,"588"
10,1663,7,"709"
10,1663,8,"1597"
10,1663,9,"1766"
10,1663,10,"1903"
11,1702,1,"199"
11,1702,2,"207"
11,1702,3,"266"
11,1702,4,"302"
11,1702,5,"357"
11,1702,6,"375"
11,1702,7,"588"
11,1702,8,"1400"
11,1702,9,"1597"
