"user_index","child_id","item_rank","story_id"
1,71,1,"199"
1,71,2,"207"
1,71,3,"302"
1,71,4,"375"
1,71,5,"427"
1,71,6,"588"
1,71,7,"1294"
1,71,8,"1400"
1,71,9,"1533"
1,71,10,"1903"
2,94,1,"207"
2,94,2,"302"
2,94,3,"375"
2,94,4,"427"
2,94,5,"709"
2,94,6,"1294"
2,94,7,"1400"
2,94,8,"1527"
2,94,9,"1597"
2,94,10,"1903"
3,362,1,"199"
3,362,2,"302"
3,362,3,"357"
3,362,4,"375"
3,362,5,"550"
3,362,6,"1086"
3,362,7,"1294"
3,362,8,"1400"
3,362,9,"1533"
3,362,10,"1597"
4,547,1,"199"
4,547,2,"302"
4,547,3,"357"
4,547,4,"375"
4,547,5,"550"
4,547,6,"709"
4,547,7,"1086"
4,547,8,"1294"
4,547,9,"1533"
4,547,10,"1597"
5,674,1,"311"
5,674,2,"632"
5,674,3,"759"
5,674,4,"983"
5,674,5,"1001"
5,674,6,"1045"
5,674,7,"1159"
5,674,8,"1389"
5,674,9,"1400"
5,674,10,"1656"
6,984,1,"4"
6,984,2,"199"
6,984,3,"550"
6,984,4,"680"
6,984,5,"709"
6,984,6,"1071"
6,984,7,"1159"
6,984,8,"1400"
6,984,9,"1527"
6,984,10,"1597"
7,1470,1,"199"
7,1470,2,"266"
7,1470,3,"302"
7,1470,4,"357"
7,1470,5,"375"
7,1470,6,"550"
7,1470,7,"709"
7,1470,8,"1294"
7,1470,9,"1533"
7,1470,10,"1597"
8,1570,1,"550"
8,1570,2,"680"
8,1570,3,"709"
8,1570,4,"759"
8,1570,5,"1001"
8,1570,6,"1159"
8,1570,7,"1400"
8,1570,8,"1527"
8,1570,9,"1597"
8,1570,10,"1766"
9,1644,1,"199"
9,1644,2,"302"
9,1644,3,"357"
9,1644,4,"375"
9,1644,5,"427"
9,1644,6,"550"
9,1644,7,"709"
9,1644,8,"1294"
9,1644,9,"1533"
9,1644,10,"1597"
10,1663,1,"199"
10,1663,2,"266"
10,1663,3,"759"
10,1663,4,"983"
10,1663,5,"1001"
10,1663,6,"1045"
10,1663,7,"1071"
10,1663,8,"1072"
10,1663,9,"1159"
10,1663,10,"1389"
11,1702,1,"199"
11,1702,2,"266"
11,1702,3,"375"
11,1702,4,"427"
11,1702,5,"550"
11,1702,6,"709"
11,1702,7,"1086"
11,1702,8,"1294"
11,1702,9,"1400"
11,1702,10,"1533"
12,1935,1,"199"
12,1935,2,"266"
12,1935,3,"357"
12,1935,4,"375"
12,1935,5,"550"
12,1935,6,"709"
12,1935,7,"1086"
12,1935,8,"1400"
12,1935,9,"1533"
12,1935,10,"1597"
13,2062,1,"199"
13,2062,2,"302"
13,2062,3,"357"
13,2062,4,"375"
13,2062,5,"550"
13,2062,6,"709"
13,2062,7,"1086"
13,2062,8,"1294"
13,2062,9,"1533"
13,2062,10,"1597"
14,2098,1,"357"
14,2098,2,"550"
14,2098,3,"680"
14,2098,4,"759"
14,2098,5,"1001"
14,2098,6,"1353"
14,2098,7,"1389"
14,2098,8,"1597"
14,2098,9,"1766"
14,2098,10,"1921"
15,2302,1,"199"
15,2302,2,"302"
15,2302,3,"357"
15,2302,4,"375"
15,2302,5,"550"
15,2302,6,"709"
15,2302,7,"1086"
15,2302,8,"1294"
15,2302,9,"1533"
15,2302,10,"1597"
16,2462,1,"199"
16,2462,2,"302"
16,2462,3,"357"
16,2462,4,"375"
16,2462,5,"550"
16,2462,6,"709"
16,2462,7,"1086"
16,2462,8,"1294"
16,2462,9,"1400"
16,2462,10,"1533"
17,3037,1,"199"
17,3037,2,"302"
17,3037,3,"357"
17,3037,4,"375"
17,3037,5,"550"
17,3037,6,"709"
17,3037,7,"1086"
17,3037,8,"1294"
17,3037,9,"1400"
17,3037,10,"1597"
18,3051,1,"199"
18,3051,2,"266"
18,3051,3,"302"
18,3051,4,"357"
18,3051,5,"375"
18,3051,6,"427"
18,3051,7,"550"
18,3051,8,"1294"
18,3051,9,"1533"
18,3051,10,"1597"
19,3100,1,"199"
19,3100,2,"266"
19,3100,3,"302"
19,3100,4,"357"
19,3100,5,"375"
19,3100,6,"427"
