story_id_code,collection
1326,i_Life_skills
799,i_Wings_of_Words
799,i_Nature
1064,i_Life_skills
1064,i_Wings_of_Words
1404,i_Animal
1404,i_Wings_of_Words
1404,i_Funny
693,i_Animal
693,i_Wings_of_Words
213,i_Audio
213,i_Festivals
213,i_Culture/History
1521,i_Video
1472,i_Adventure
1472,i_Funny
207,i_Funny
207,i_Animal
375,i_Life_skills
375,i_Family/Friends
1563,i_Adventure
1563,i_Funny
1438,i_Life_skills
1438,i_Family/Friends
504,i_Family/Friends
588,i_Nature
588,i_Family/Friends
1903,i_Funny
1903,i_Life_skills
357,i_Funny
357,i_Family/Friends
1063,i_Audio
1063,i_Family/Friends
1063,i_Funny
1011,i_Life_skills
1011,i_Family/Friends
1528,i_Adventure
1528,i_Animal
1559,i_Culture/History
1559,i_Family/Friends
766,i_Math_&_Numbers
766,i_Funny
1781,i_Adventure
464,i_Culture/History
464,i_Family/Friends
1152,i_Animal
1152,i_Adventure
1152,i_Nature
1208,i_Family/Friends
1389,i_Adventure
1389,i_Science
1353,i_Adventure
1353,i_Family/Friends
983,i_Math_&_Numbers
983,i_Life_skills
1654,i_Science
1654,i_Life_skills
1400,i_Funny
759,i_Funny
759,i_Animal
949,i_Adventure
1045,i_Adventure
1045,i_Nature
1054,i_Adventure
1054,i_Science
199,i_Nature
199,i_Life_skills
157,i_Adventure
157,i_Science
1882,i_Audio
1882,i_Family/Friends
916,i_Animal
916,i_Audio
916,i_Funny
1157,i_Adventure
1157,i_Audio
427,i_Family/Friends
427,i_Animal
297,i_Life_skills
297,i_Family/Friends
1114,i_Audio
1114,i_Life_skills
1114,i_Family/Friends
632,i_Life_skills
632,i_Family/Friends
1084,i_Life_skills
1084,i_Animal
1844,i_Audio
1844,i_Life_skills
1844,i_Animal
1159,i_Nature
1159,i_Science
429,i_Family/Friends
429,i_Animal
514,i_Funny
514,i_Family/Friends
860,i_Audio
860,i_Family/Friends
860,i_Funny
311,i_Funny
311,i_Family/Friends
1922,i_Audio
1922,i_Family/Friends
688,i_Adventure
688,i_Science
1639,i_Funny
340,i_Nature
340,i_Science
1031,i_Life_skills
1031,i_Family/Friends
1714,i_Animal
1644,i_Science
1644,i_Life_skills
652,i_Adventure
652,i_Life_skills
1969,i_Funny
680,i_Life_skills
680,i_Family/Friends
1086,i_Festivals
1597,i_Adventure
1597,i_Animal
1037,i_Family/Friends
1037,i_Animal
1747,i_Life_skills
1572,i_Nature
1572,i_Animal
1894,i_Science
1894,i_Life_skills
1894,i_Nature
1281,i_Funny
1775,i_Adventure
1775,i_Life_skills
382,i_Life_skills
382,i_Family/Friends
551,i_Funny
551,i_Life_skills
596,i_Funny
1656,i_Nature
1656,i_Animal
581,i_Funny
1607,i_Adventure
1607,i_Funny
323,i_Funny
