has_mcq,reading_time_avg,grade_level_sum,story_type,freadom_point,reading_count,view_count,like_count,is_published,mcq,landscape,experience_count,view_count-level_1:easy,view_count-level_1:hard,view_count-level_2:easy,view_count-level_2:hard,view_count-level_3:easy,view_count-level_3:hard,view_count-level_4:easy,view_count-level_4:hard,view_count-level_5:easy,view_count-level_5:hard,view_count-level_6:easy,view_count-level_6:hard,view_count-level_7:easy,view_count-level_7:hard,view_count-level_8:hard,view_count-level_9:easy,view_count-level_9:hard,completed_count-level_8:easy,completed_count-level_1:easy,completed_count-level_1:hard,completed_count-level_2:easy,completed_count-level_2:hard,completed_count-level_3:easy,completed_count-level_3:hard,completed_count-level_4:easy,completed_count-level_4:hard,completed_count-level_5:easy,completed_count-level_5:hard,completed_count-level_6:easy,completed_count-level_6:hard,completed_count-level_7:easy,completed_count-level_7:hard,completed_count-level_8:hard,completed_count-level_9:easy,completed_count-level_9:hard,reading_time_avg,grade_level_sum,story_id_code
False,7.5,7.5,read,0,2506,2929,243,False,False,False,113,0,43,0,242,1,315,80,339,196,422,233,556,155,320,,,,,0,33,0,220,1,288,49,304,127,361,168,508,129,295,,,,7.5,7.5,416
True,7.5,7.5,read,0,1264,1521,133,True,True,False,76,3,0,0,25,88,126,182,292,127,347,60,239,1,18,,,,,2,0,0,24,40,119,113,263,86,314,47,225,1,17,,,,7.5,7.5,1326
False,7.5,0.5,read,0,171,202,24,True,False,False,17,15,25,12,93,2,29,2,5,0,10,1,4,0,1,,,,,7,23,8,81,2,27,1,5,0,9,1,4,0,1,,,,7.5,0.5,799
True,7.5,2.5,read,0,270,341,33,True,True,False,15,0,0,31,115,31,154,0,6,0,1,0,1,0,0,,,,,0,0,12,94,19,137,0,5,0,1,0,1,0,0,,,,7.5,2.5,1064
True,7.5,2.5,read,0,376,539,60,True,True,False,22,0,2,52,145,62,200,11,13,8,25,0,5,0,1,,,,,0,1,24,109,29,157,8,12,3,17,0,5,0,1,,,,7.5,2.5,1404
False,7.5,0.5,read,0,183,236,33,True,False,False,18,19,23,29,98,4,29,1,9,0,11,1,4,0,1,,,,,8,19,17,80,2,27,1,8,0,9,1,4,0,1,,,,7.5,0.5,693
False,7.5,8.0,listen,0,3082,4188,475,False,False,False,80,0,0,0,142,95,394,301,584,309,659,340,670,287,397,,,,,0,0,0,110,52,301,171,426,190,513,238,548,201,314,,,,7.5,8.0,213
True,3.5,5.5,watch,0,212,375,26,True,True,False,7,0,1,0,1,56,75,101,136,2,9,1,1,0,1,,,,,0,1,0,1,18,53,40,90,1,7,1,0,0,0,,,,3.5,5.5,1521
True,3.5,3.5,read,0,2344,3309,233,True,True,False,98,128,72,542,523,794,712,130,357,10,18,2,1,0,3,0.0,0.0,0.0,0.0,61,57,298,426,430,605,87,330,7,16,2,1,0,3,0.0,0.0,0.0,3.5,3.5,1472
True,7.5,7.5,read,1000,3405,5852,398,True,True,False,150,56,29,222,176,205,317,1205,939,1065,1028,145,395,16,23,0.0,0.0,0.0,0.0,23,21,108,129,75,249,416,584,495,757,99,347,9,19,0.0,0.0,0.0,7.5,7.5,207
