"k","precision.at.5","recall.at.5","rmse","n"
1,0.0532515337423313,0.0191175669894767,0.144774635005695,815
2,0.0609022556390977,0.0221398386943062,0.128136697531442,798
3,0.0630769230769231,0.0219347083173981,0.135520545265765,780
4,0.0512820512820513,0.0192481770676991,0.129135604118841,858
5,0.04372574385511,0.0170604361339583,0.134375012906668,773
6,0.0578371810449575,0.0214769095297299,0.147065923410518,823
7,0.0527363184079602,0.0176035652947858,0.133519471286016,804
8,0.0508176100628931,0.017972844517808,0.128959406122257,795
9,0.0616306954436451,0.0225721646601212,0.127132527568763,834
10,0.0561274509803922,0.0187477208585816,0.139977101383617,816
