"k","precision.at.5","recall.at.5","rmse","n"
1,0.0506151142355009,0.0191952589614191,0.134972326932366,569
2,0.050188679245283,0.0167262160992344,0.134533898112257,530
3,0.0520388349514563,0.0197186042562306,0.134985745392833,515
4,0.0596745027124774,0.0207745177560357,0.123848099847925,553
5,0.0473394495412844,0.0175748228038881,0.135501217276909,545
6,0.0469565217391304,0.0170864410274204,0.14191758237435,575
7,0.0544776119402985,0.0206197660810242,0.126764417638095,536
8,0.0482242990654206,0.0183660712946563,0.140059730789169,535
9,0.0517766497461929,0.0195786186159964,0.137918325139574,591
10,0.058477508650519,0.019775033067886,0.129377885004984,578
