"k","precision.at.5","recall.at.5","rmse","n"
1,0.0525714285714286,0.0143210602883402,0.492260527493129,175
2,0.0428571428571429,0.0124534816453669,0.49241609811255,182
3,0.056969696969697,0.0170761750570449,0.493052579045172,165
4,0.0455026455026455,0.0136699916372029,0.49257837887419,189
5,0.0455696202531646,0.0147958875733579,0.493577492653486,158
6,0.0402173913043478,0.0130130923062955,0.492462538147996,184
7,0.0325301204819277,0.0126418596606193,0.492702015273752,166
8,0.035632183908046,0.011934455951085,0.493853015420139,174
9,0.0379310344827586,0.0106104004790247,0.492608365903891,174
10,0.0497297297297297,0.0152547066787473,0.492494990370779,185
