"k","precision.at.5","recall.at.5","rmse","n"
1,0.0511627906976744,0.01121166675658,0.488156025100288,172
2,0.0738636363636364,0.0167590461166958,0.487977893415993,176
3,0.0827586206896552,0.0172191132942809,0.487766095022237,145
4,0.0647727272727273,0.0173840655163498,0.489444287509312,176
5,0.0717948717948718,0.0157625528752516,0.487949832758805,156
6,0.0757062146892655,0.0169146826373993,0.48858529103196,177
7,0.087741935483871,0.0243968623058434,0.489677534621885,155
8,0.0584795321637427,0.0157546011033634,0.487623445221469,171
9,0.08375,0.0251256236906539,0.489415452405958,160
10,0.0727272727272727,0.0177810568905265,0.488560046968522,187
