"k","precision.at.5","recall.at.5","rmse","n"
1,0.145869947275923,0.0632270055141164,0.0944254213253916,569
2,0.130943396226415,0.055792913598222,0.100447044233602,530
3,0.135145631067961,0.0596148352319882,0.0941211718332533,515
4,0.136347197106691,0.0609998942440588,0.0947517499864689,553
5,0.134311926605505,0.054214283555679,0.100175329074977,545
6,0.135304347826087,0.0584250766010501,0.0969598775814619,575
7,0.153358208955224,0.0642013430125154,0.0945254266335832,536
8,0.141308411214953,0.0645154779620959,0.0941149936760659,535
9,0.143824027072758,0.0610517851260269,0.0991624916886895,591
10,0.142906574394464,0.0620865827121147,0.093578639722172,578
