"k","precision.at.5","recall.at.5","rmse","n"
1,0.0331428571428571,0.00782178627948384,0.224122803753478,175
2,0.0307692307692308,0.00901884739926246,0.222648803312802,182
3,0.0339393939393939,0.00939091999403295,0.223936609501692,165
4,0.037037037037037,0.0113122263565535,0.223437411328289,189
5,0.0215189873417722,0.00824865564152596,0.224166815572622,158
6,0.0326086956521739,0.0102230537993873,0.22773365970651,184
7,0.0216867469879518,0.00749846357068112,0.223857774725665,166
8,0.0310344827586207,0.0100520821547587,0.224547148136121,174
9,0.0275862068965517,0.00812597762560283,0.225143567150582,174
10,0.0345945945945946,0.0102935072844932,0.225335033875334,185
