"k","precision.at.5","recall.at.5","rmse","n"
1,0.15,0.0855385151383148,0.0765901980729155,340
2,0.18125,0.0999380914883659,0.0719846440779394,352
3,0.174838709677419,0.0964097222090581,0.0725172162179167,310
4,0.170140845070423,0.0917034281707887,0.0762651550472535,355
5,0.179331306990881,0.0944868680889741,0.0730546161962322,329
6,0.148493150684932,0.0807251697649933,0.0765746973655011,365
7,0.154597701149425,0.0839986506051548,0.0738496165431499,348
8,0.152439024390244,0.0824734398518662,0.0732177362055317,328
9,0.176308539944904,0.0981222858957424,0.0723559901390943,363
10,0.148901098901099,0.0804202960339616,0.0697791350566322,364
