"k","precision.at.5","recall.at.5","rmse","n"
1,0.121290322580645,0.0329280674415487,0.11255497445097,465
2,0.114166666666667,0.0305126037143165,0.11185951380301,480
3,0.103432494279176,0.0269830850647532,0.108936270306293,437
4,0.106198347107438,0.02866453741851,0.110483719268731,484
5,0.105909090909091,0.0308991322938264,0.114543979036604,440
6,0.1025,0.0267635785918573,0.109934934562498,480
7,0.111304347826087,0.0274803342612518,0.114597282674472,460
8,0.105336426914153,0.0276979508457225,0.116445019826954,431
9,0.109690721649485,0.0276398130643901,0.114607340657102,485
10,0.104583333333333,0.0283131957915178,0.117198586872532,480
