"k","precision.at.5","recall.at.5","rmse","n"
1,0.0950354609929078,0.038515689077208,0.0956531734647907,141
2,0.121167883211679,0.051036902271379,0.113065422182863,137
3,0.109734513274336,0.0517774424016346,0.109134771513105,113
4,0.117037037037037,0.0511436123694989,0.103230947779924,135
5,0.0901639344262295,0.0428207730045322,0.109996427205384,122
6,0.103448275862069,0.0457607872866351,0.0969619693517778,145
7,0.120689655172414,0.0556759316014628,0.105526547093281,116
8,0.114285714285714,0.0480527868310962,0.124625795269022,133
9,0.141463414634146,0.0611365233707513,0.0882098304695524,123
10,0.12551724137931,0.055872724664264,0.165484857795598,145
