"k","precision.at.5","recall.at.5","rmse","n"
1,0.0406976744186047,0.0111200034930781,0.239883724355774,172
2,0.0511363636363636,0.0117407232821358,0.242748107914577,176
3,0.0468965517241379,0.0123675468747245,0.241636460740219,145
4,0.0477272727272727,0.0126030073587672,0.242206812163358,176
5,0.0384615384615385,0.0108419147107898,0.241606056308548,156
6,0.0429378531073446,0.0105481499004409,0.241020981129318,177
7,0.0425806451612903,0.0149339962023976,0.242688935378159,155
8,0.0409356725146199,0.0112546072586257,0.242420353590126,171
9,0.0475,0.0154965391497091,0.239752581027207,160
10,0.0502673796791444,0.0126774641061486,0.241871722356022,187
