"k","precision.at.5","recall.at.5","rmse","n"
1,0.37410071942446,0.0354073883750143,0.22210451480808,19
2,0.158620689655172,0.0349516031457955,0.332656598797216,17
3,0.0700280112044818,0.0239762571695345,0.295823275422842,14
4,0.0489130434782609,0.023270690661995,0.346386299451414,16
5,0.00161290322580645,0.00023719165085389,0.471112593354586,20
6,0.0399543378995434,0.025685690114313,0.263975873591011,11
7,0.00510204081632653,0.00510204081632653,0.364782610631809,7
8,0,0,0.488801959348373,11
9,0.0132275132275132,0.0118102796674225,0.339525451476716,16
10,0.00827067669172932,0.00975653419262442,0.426935086957375,10
