"k","precision.at.5","recall.at.5","rmse","n"
1,0.000351493848857645,0.000195274360476469,0.192746901743676,127
2,0.00188679245283019,0.00049787559014715,0.341070342218676,113
3,0.00116504854368932,0.000728155339805825,0.652387801909642,128
4,0.064376130198915,0.0251844231800855,0.323756580764665,128
5,0.00110091743119266,0.000408377495597347,0.374256330827433,123
6,0.00173913043478261,0.000531696736665681,0.606132623764306,142
7,0.0432835820895522,0.0172301527550363,0.226711391203341,119
8,0.00785046728971963,0.0031562285066958,0.178689710198047,129
9,0.00101522842639594,0.000383881562080867,0.666335901598982,140
10,0.0591695501730104,0.0254607387902144,0.197633581867188,154
