"k","precision.at.5","recall.at.5","rmse","n"
1,0.00228571428571429,0.000924143242202541,0.55166150557587,33
2,0.0010989010989011,0.000289184499710815,0.457296204135578,54
3,0.0278787878787879,0.00781621577076123,0.173781064638732,26
4,0.00317460317460317,0.000838442372833907,0.15950367890275,39
5,0,0,0.368673007409711,31
6,0,0,0.409815386884943,39
7,0.0927710843373494,0.0304886796820728,0.14712337760662,40
8,0,0,0.16406647347599,45
9,0.00114942528735632,0.000140173815531259,0.359189637518704,44
10,0.00108108108108108,4.54235748353395e-05,0.522048751247423,49
