"k","precision.at.5","recall.at.5","rmse","n"
1,0.00141843971631206,0.000788022064617809,0.647656313793944,28
2,0.240875912408759,0.0960858314949611,0.108582821062721,34
3,0.238938053097345,0.0887264303662164,0.106501582742127,30
4,0,0,0.325701510394019,30
5,0.00163934426229508,0.000683060109289617,0.563911596962355,25
6,0,0,0.708579877327014,26
7,0.00172413793103448,0.000783699059561128,0.55541930778942,24
8,0.00150375939849624,0.000115673799884326,0.554934093667129,23
9,0.0032520325203252,0.00122854561878952,0.58198980155174,26
10,0,0,0.573223972390852,37
