"k","precision.at.5","recall.at.5","rmse","n"
1,0.00116279069767442,0.000200481154771451,0.415633726050554,31
2,0,0,0.500889472824946,39
3,0.00275862068965517,0.000405547713472698,0.502966872033477,35
4,0.00113636363636364,0.000631313131313131,0.259839106908613,37
5,0.00256410256410256,0.000641025641025641,0.425896620394167,30
6,0.124293785310734,0.0278185351752348,0.170107694956459,29
7,0.161290322580645,0.0436268332949628,0.15017198660534,28
8,0.157894736842105,0.0422461905028944,0.134190486246025,29
9,0.1875,0.0540917360025167,0.139219609349455,32
10,0.224598930481283,0.0456738458376727,0.146567437009061,42
