"k","precision.at.5","recall.at.5","rmse","n"
1,0.00343558282208589,0.0011198346683402,0.0905636571459639,815
2,0.00776942355889724,0.00220935644067148,0.0924183923637213,798
3,0.00461538461538462,0.00168641602918514,0.0892147239168725,780
4,0.00722610722610723,0.00273789943336408,0.0874137803239389,858
5,0.00569210866752911,0.00123419975268021,0.087873992944752,773
6,0.00656136087484812,0.00204139510358961,0.0944498912664537,823
7,0.00522388059701493,0.00184291971322656,0.0859978186223859,804
8,0.0030188679245283,0.00106900005540619,0.0921043825390147,795
9,0.00479616306954437,0.00155927251787102,0.0887866491634303,834
10,0.00588235294117647,0.00163874822590841,0.0932805973033826,816
