"k","precision.at.5","recall.at.5","rmse","n"
1,0.00175746924428823,0.000347989200322346,0.0901147634398366,569
2,0.00339622641509434,0.00137099201765162,0.0974509388818396,530
3,0.00233009708737864,0.00101411351964032,0.0882005849959296,515
4,0.00108499095840868,5.37786916521169e-05,0.0923161811625993,553
5,0.00256880733944954,0.000512820207902328,0.106235060096412,545
6,0,0,0.0933619192289512,575
7,0.00149253731343284,0.00076283850958863,0.0908978937993441,536
8,0.000747663551401869,5.28638860062385e-05,0.0873495122198612,535
9,0.00169204737732657,0.000327540917177427,0.0950902987405527,591
10,0.00311418685121107,0.00067105850676595,0.0918411527058262,578
