"k","precision.at.5","recall.at.5","rmse","n"
1,0.00228571428571429,3.82226469182991e-05,0.471378587349597,175
2,0.00549450549450549,0.000571929965900173,0.47201194275473,182
3,0.00484848484848485,0.000630562206602988,0.47237894859074,165
4,0.00529100529100529,0.000788033322026609,0.472023601399917,189
5,0.00506329113924051,0.000411979001707906,0.473010770945429,158
6,0.00978260869565217,0.00183694369570922,0.470603624615967,184
7,0.00240963855421687,0.000714299986013707,0.471975764489472,166
8,0.00804597701149425,0.00175693327168586,0.473166970800345,174
9,0.0160919540229885,0.0026894756602971,0.471461350641346,174
10,0.00972972972972973,0.000630637143715829,0.471373193141943,185
