"k","precision.at.5","recall.at.5","rmse","n"
1,0.00283687943262411,0.00124957784532253,0.126250022356155,141
2,0.0072992700729927,0.00125246333644916,0.178886447367848,137
3,0.00176991150442478,0.00110619469026549,0.155530545593207,113
4,0.00444444444444444,0.00141599790722598,0.136036619555056,135
5,0.00491803278688525,0.00049304602483331,0.176288811213565,122
6,0.00413793103448276,0.000665450144540387,0.133361789888771,145
7,0.00344827586206897,0.00026525198938992,0.137543995636775,116
8,0.00451127819548872,0.00123454239995593,0.245407934442641,133
9,0.0048780487804878,0.00077541918467313,0.124164236311494,123
10,0,0,0.387876249387608,145
