"k","precision.at.5","recall.at.5","rmse","n"
1,0.00581395348837209,0.00208186516326051,0.537366282065731,172
2,0.00681818181818182,0.00123446348057793,0.536866449206824,176
3,0.00275862068965517,0.000513265379888672,0.536744859863297,145
4,0.00568181818181818,0.00126325133234978,0.538517516946255,176
5,0.00384615384615385,0.00133453291348028,0.536851166119372,156
6,0.00451977401129944,0.000417804158306788,0.537621351798386,177
7,0.00129032258064516,2.48138957816377e-05,0.538676169655164,155
8,0.00350877192982456,0.000526315789473684,0.536343112585393,171
9,0.00625,0.00104618830290737,0.538708887442619,160
10,0.00962566844919786,0.00113874565267783,0.537722677263711,187
