"k","precision.at.5","recall.at.5","rmse","n"
1,0.00757575757575758,0.00340192707213984,0.574369545811082,132
2,0.00735294117647059,0.00165593669594535,0.574498519101146,136
3,0.00727272727272727,0.00454545454545455,0.575163132423679,110
4,0.00740740740740741,0.00341416813639036,0.574499629581909,135
5,0.00185185185185185,0.000617283950617284,0.576365457073537,108
6,0.00536912751677852,0.000773636919735183,0.574320490401094,149
7,0,0,0.574158445452084,111
8,0.00317460317460317,0.00102830325433065,0.576351875274456,126
9,0.00168067226890756,0.00140056022408964,0.574442439022074,119
10,0.00150375939849624,0.0003269042170644,0.575540084526054,133
