"k","precision.at.5","recall.at.5","rmse","n"
1,0.00571428571428571,0.00147551378917839,0.493619836878951,175
2,0.00549450549450549,0.00119664807685765,0.493840064564383,182
3,0.00242424242424242,0.000992379939748361,0.493887344369551,165
4,0.00211640211640212,0.000297470312462816,0.493160852721509,189
5,0.00632911392405063,0.00175601320345404,0.494050313858166,158
6,0.00652173913043478,0.00205683393562564,0.495003216226899,184
7,0,0,0.493780291823642,166
8,0.00459770114942529,0.00132147875905308,0.494134988842433,174
9,0.00229885057471264,0.000231026383028857,0.495249048770836,174
10,0.00432432432432432,0.00155961155961156,0.49351531441569,185
