"k","precision.at.5","recall.at.5","rmse","n"
1,0.00567375886524823,0.00197965600370781,0.572645766264575,141
2,0.00583941605839416,0.00234204793028322,0.574945850146244,137
3,0.00707964601769912,0.00181514465095195,0.573857999741196,113
4,0.00444444444444444,0.00174788823911631,0.575949413408608,135
5,0.00655737704918033,0.00320116662329777,0.573674159034155,122
6,0.00413793103448276,0.00165708812260536,0.574466356272206,145
7,0.00172413793103448,0.000391849529780564,0.575406191874328,116
8,0.00150375939849624,1.80306882313698e-05,0.572720039800815,133
9,0.0016260162601626,0.000542005420054201,0.575229014047713,123
10,0.00275862068965517,0.00077175697865353,0.574132128607359,145
