"k","precision.at.5","recall.at.5","rmse","n"
1,0.00348837209302326,0.00118236629864537,0.493499026868963,172
2,0.00568181818181818,0.00196571368446368,0.494192936585617,176
3,0.00551724137931035,0.00175673253980828,0.49401993998853,145
4,0.00681818181818182,0.00258483862107524,0.495309972247548,176
5,0.00512820512820513,0.00185458728869723,0.49358167955417,156
6,0.00677966101694915,0.00100548299729825,0.494295148839457,177
7,0.00258064516129032,0.000298558682223747,0.493555811230085,155
8,0.00701754385964912,0.00197338279309092,0.493613077928702,171
9,0.005,0.00106726606726607,0.493887543516663,160
10,0.0053475935828877,0.00199016669604905,0.494646810917819,187
