"k","precision.at.5","recall.at.5","rmse","n"
1,0.129815950920245,0.048234017790707,0.0932888800201729,815
2,0.133082706766917,0.0433662988671832,0.09513231092988,798
3,0.125897435897436,0.0512868098634872,0.0911389271411722,780
4,0.127039627039627,0.0490727790905165,0.0887297243464798,858
5,0.123673997412678,0.0463508786077899,0.0899708947945159,773
6,0.130012150668287,0.0471898538371955,0.0970986393735851,823
7,0.120646766169154,0.0475159938127948,0.0878389591129006,804
8,0.129811320754717,0.0472713000973138,0.0952557248466303,795
9,0.127817745803357,0.0461717148149951,0.0912363926522847,834
10,0.134558823529412,0.0495457139249192,0.0962505459050025,816
