"k","precision.at.5","recall.at.5","rmse","n"
1,0.0904827586206897,0.0199573167091,0.130664081603542,725
2,0.0889526542324247,0.0192924168574172,0.134498185584391,697
3,0.0864457831325301,0.0202426798770097,0.129344214472512,664
4,0.0956043956043956,0.0226290433154084,0.131984310980018,728
5,0.0882602545968883,0.0185731555983693,0.132835200582756,707
6,0.102168021680217,0.0237768123635292,0.13146570309888,738
7,0.0884239888423989,0.0214115857052317,0.130997194689871,717
8,0.0912280701754386,0.021195489869185,0.12935444799878,684
9,0.0891534391534392,0.0197803254260599,0.134123193322783,756
10,0.100539083557951,0.0239388637329503,0.130205605583685,742
