"k","precision.at.5","recall.at.5","rmse","n"
1,0.15,0.0631697444475222,0.0891656946470298,132
2,0.129411764705882,0.0565306450084667,0.082787751563535,136
3,0.154545454545455,0.0599059442746581,0.0901094147879262,110
4,0.140740740740741,0.0651413548688308,0.0856378187512501,135
5,0.131481481481481,0.0605056661063747,0.0843769478014078,108
6,0.132885906040268,0.0514134672876569,0.100525958912465,149
7,0.131531531531532,0.0459839849462584,0.0891750533410762,111
8,0.128571428571429,0.0544693933965934,0.0841983642403778,126
9,0.119327731092437,0.0440282393906127,0.0952073821146333,119
10,0.130827067669173,0.0546117099879231,0.0949220491765747,133
