"k","precision.at.5","recall.at.5","rmse","n"
1,0.111850311850312,0.0125180832003711,0.155950970623851,481
2,0.114867617107943,0.0130312953321209,0.154218467406826,491
3,0.10467706013363,0.0121400153809709,0.152880834257511,449
4,0.118577075098814,0.0136386978773721,0.153539507938476,506
5,0.10509977827051,0.0121676105508982,0.159001437826293,451
6,0.121529175050302,0.0139924527421384,0.153754817521881,497
7,0.129957805907173,0.0146248957252212,0.1570461001859,474
8,0.115124153498871,0.0124694585029823,0.160214560581319,443
9,0.115789473684211,0.0125545071744884,0.158143214509425,494
10,0.106613226452906,0.0118920957480975,0.158752348164363,499
