"k","precision.at.5","recall.at.5","rmse","n"
1,0.0941860465116279,0.0186272587177901,0.132148811342382,172
2,0.102272727272727,0.0202509831947362,0.138588982697172,176
3,0.0882758620689655,0.0174669287428711,0.136460196891426,145
4,0.0852272727272727,0.0196679717362798,0.134241256055826,176
5,0.0705128205128205,0.0169568230517802,0.135425190333033,156
6,0.106214689265537,0.0202223821358124,0.133691903356115,177
7,0.0890322580645161,0.0216548803068402,0.136252916594991,155
8,0.0900584795321637,0.018416025852418,0.138408943669872,171
9,0.09875,0.0219594421560135,0.126438452153784,160
10,0.0823529411764706,0.019865472245919,0.136087319021486,187
