"k","precision.at.5","recall.at.5","rmse","n"
1,0.142331288343558,0.0632864986399305,0.0871003393348267,815
2,0.131578947368421,0.0516796730538544,0.0889301512758867,798
3,0.142051282051282,0.064719520155436,0.0851069901042399,780
4,0.145454545454545,0.064645042874346,0.0827530861458812,858
5,0.131694695989651,0.0578607256844363,0.0837856970898654,773
6,0.13681652490887,0.0606180856994902,0.0910194300860442,823
7,0.129850746268657,0.0584737126718142,0.0820126748472355,804
8,0.144654088050314,0.0646499421789393,0.0887549559371137,795
9,0.134532374100719,0.05744943441432,0.0851846755982273,834
10,0.138725490196078,0.0610324946315837,0.0901793818040367,816
