"k","precision.at.5","recall.at.5","rmse","n"
1,0.153251318101933,0.0676087909105475,0.0833958339030149,569
2,0.14377358490566,0.0609102028459554,0.0911895930177778,530
3,0.141747572815534,0.0612984680734386,0.082415220094512,515
4,0.139240506329114,0.0617349123806295,0.0864630520712892,553
5,0.150091743119266,0.0614964275417225,0.0876993057798422,545
6,0.144,0.0634457721019773,0.0849092152600206,575
7,0.162686567164179,0.067395454500994,0.0852654027354292,536
8,0.147289719626168,0.0679292180288992,0.0815379913536506,535
9,0.155329949238579,0.0663730099537703,0.0890492848141621,591
10,0.146712802768166,0.0646854093155419,0.0829405349635417,578
