"k","precision.at.5","recall.at.5","rmse","n"
1,0.110857142857143,0.0326966769364983,0.0668192439335474,175
2,0.136263736263736,0.0443073545815431,0.0621878481406851,182
3,0.117575757575758,0.0329190205092217,0.0632606549776379,165
4,0.140740740740741,0.043762909051841,0.0626227300467578,189
5,0.118987341772152,0.0414444496515459,0.0607803237844227,158
6,0.139130434782609,0.0428073348984819,0.076816276103405,184
7,0.119277108433735,0.0391767244503718,0.0626785077190158,166
8,0.131034482758621,0.0449533317121161,0.0628789714485229,174
9,0.113793103448276,0.0390057260955661,0.0671673415043492,174
10,0.139459459459459,0.0420077770552553,0.0688168844324067,185
