"k","precision.at.5","recall.at.5","rmse","n"
1,0.0965116279069767,0.0272837551755318,0.0706205455828857,172
2,0.104545454545455,0.0289989603512887,0.0779325177245174,176
3,0.118620689655172,0.0359038117383661,0.0753443279322062,145
4,0.113636363636364,0.0351059049015892,0.0727849428668573,176
5,0.091025641025641,0.0298026364749161,0.0742558739629246,156
6,0.0926553672316384,0.0240073965349541,0.0729575577393708,177
7,0.0941935483870968,0.0310376023476817,0.0751096257447765,155
8,0.108771929824561,0.0288485575603156,0.0768936663596148,171
9,0.0975,0.030983341595612,0.0640626689499518,160
10,0.113368983957219,0.0352545205928273,0.075232829958451,187
